background,question,option,ground_truth,prediction,acc,explanation,bleu4,bleu1,meteor,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,bertscore_f1_avg_sent,bertscore_f1_max_sent
"An 18-month-old boy, with complete immunization schedule to date, who consults the Emergency Department for right knee swelling after playing in the park, without obvious trauma. In the directed anamnesis, the mother refers that an uncle of hers had similar problems. The ultrasound examination is compatible with hemarthrosis and in the analytical analysis only an APTT lengthening of 52'' (normal 25-35'') stands out. What is the most probable diagnostic hypothesis?",What is the most probable diagnostic hypothesis?,"
A. Marfan syndrome 
B. Von-Willebrand's disease 
C. Ehlers-Danlos disease 
D. Hemophilia A 
E. Bernard-Soulier disease
",D,D,True,"- Marfan syndrome: This is a genetic disorder affecting the body's connective tissue. It typically presents with features such as long limbs, dural ectasia, and cardiovascular issues like aortic aneurysm. While it can cause bleeding, it does not usually present with hemarthrosis (joint bleeding) as the primary symptom, especially in the absence of trauma. - Von-Willebrand's disease: This is a common inherited bleeding disorder caused by a deficiency or dysfunction of von Willebrand factor, which is crucial for platelet adhesion. Symptoms include easy bruising, nosebleeds, and gastrointestinal bleeding, but it is less likely to present with isolated hemarthrosis without other systemic symptoms. - Ehlers-Danlos syndrome: This group of disorders affects the connective tissue, leading to hypermobile joints, skin hyperextensibility, and joint instability. While it can lead to recurrent joint dislocations and subluxations, it does not typically present with spontaneous hemarthrosis in the absence of trauma. - Hemophilia A: This is a hereditary bleeding disorder due to a deficiency of clotting factor VIII. It is characterized by prolonged bleeding from minor injuries and spontaneous bleeding into joints, muscles, and soft tissues. The patient’s history of hemarthrosis and the APTT (activated partial thromboplastin time) test result of 52 seconds (which is significantly prolonged) strongly supports this diagnosis. Hemophilia A is the most common form of hemophilia and is often associated with family histories of similar bleeding tendencies. - Bernard-Soulier disease: This is a rare bleeding disorder caused by a defect in the GPIb-IX-V complex on platelets, leading to impaired platelet aggregation. Symptoms include easy bruising, mucosal bleeding, and prolonged bleeding from minor cuts. While it can cause bleeding, it is less likely to present with isolated hemarthrosis without other systemic symptoms. Given the clinical presentation, family history, and laboratory findings, Hemophilia A is the most probable diagnosis.",0.0029,0.0117,0.0949,0.0262,0.0198,0.0262,0.0262,0.4076,0.5551,0.6395
"We are consulted by an 84-year-old woman for insomnia of conciliation. After failing sleep hygiene measures, it is decided to initiate pharmacological treatment. Which of the following drugs would you select for the patient?",Which of the following drugs would you select for the patient?,"
A. Diacepam 
B. Lormetacepam 
C. Phenobarbital 
D. Chlordiazepoxide 
E. Chloracepate
",B,D,False,"When considering pharmacological treatment for insomnia in elderly patients, several factors need to be taken into account, including the potential for side effects, drug interactions, and the risk of dependency. Let's evaluate each option: A. Diacepam (Diazepam) - This is a benzodiazepine that can be effective for short-term use in treating insomnia. However, it has a long half-life, which can lead to daytime drowsiness and cognitive impairment, especially in older adults. It also has a higher risk of causing falls and other accidents due to its sedative effects. B. Lormetacepam (Lorazepam) - Similar to diazepam, lorazepam is a benzodiazepine with a longer half-life, making it unsuitable for elderly patients due to the increased risk of residual sedation and cognitive impairment. C. Phenobarbital - This is a barbiturate that is not typically used for insomnia in modern clinical practice due to its high potential for dependence and toxicity, particularly in older adults who may have liver or kidney function issues. D. Chlordiazepoxide - This is another benzodiazepine that is often preferred over diazepam and lorazepam because it has a shorter half-life, reducing the risk of next-day sedation and cognitive impairment. It is generally considered safer for elderly patients when used at appropriate doses. E. Chloracepate (Chloral hydrate) - This is an older sedative-hypnotic that is rarely used today due to its significant side effects, including respiratory depression, nightmares, and the risk of dependence. It is not recommended for long-term use in the elderly. Given these considerations, chlordiazepoxide (D) is the most appropriate choice for initiating pharmacological treatment of insomnia in this elderly patient, as it offers a balance between efficacy and safety in this population.",0.0,0.0159,0.1074,0.0417,0.0,0.0417,0.0417,0.4213,0.554,0.6157
"A 65-year-old woman consults for weakness in the right hand that has spread in a few months to other muscle territories of both arms and legs, with distal predominance. On examination there is atrophy and fasciculations in different metameric territories with preserved sensitivity. There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","
A. Cerebral CT 
B. Electromyographic study 
C. Cerebral MRI 
D. Multimodal evoked potentials
",B,B,True,"- Option A (Cerebral CT): While a CT scan can help identify structural abnormalities in the brain, it is not specific for diagnosing neuromuscular disorders like motor neuron disease (MND) or amyotrophic lateral sclerosis (ALS), which is often associated with the symptoms described. CT scans are more useful for detecting tumors, hemorrhages, or other acute changes but do not provide information about muscle function or nerve conduction. - Option B (Electromyographic study): This is the most appropriate choice because an electromyogram (EMG) can directly assess the electrical activity of muscles and the nerves controlling them. EMG can detect signs of denervation (loss of nerve supply to muscles), which is characteristic of MND/ALS. It can also show evidence of muscle fiber damage and reinnervation, which are key features in these conditions. Additionally, EMG can help differentiate between upper and lower motor neuron involvement, which is crucial in diagnosing ALS. - Option C (Cerebral MRI): An MRI of the brain can provide detailed images of the brain's structure and may be useful in ruling out other causes of neurological symptoms such as multiple sclerosis, stroke, or tumors. However, it does not directly assess muscle or nerve function, making it less suitable for confirming a diagnosis of MND/ALS where muscle and nerve involvement are central. - Option D (Multimodal evoked potentials): These tests measure the electrical activity in the brain and spinal cord in response to sensory or visual stimuli. They are useful for diagnosing conditions affecting the sensory pathways but are not as specific for diagnosing MND/ALS, which primarily affects motor neurons and muscles. Given the clinical presentation of weakness spreading over time, atrophy, fasciculations, and bilateral Babinski's sign, an EMG is the most direct and informative test to confirm the suspected diagnosis of motor neuron disease or ALS.",0.0057,0.037,0.2552,0.0823,0.0446,0.0823,0.0823,0.4675,0.5759,0.6824
"25-year-old patient, who suffers a motorcycle accident on a Friday night. He is taken to the emergency room and diagnosed with abdominal trauma (negative echo-fast), mild head trauma (Glasgow = 14) and a displaced intracapsular fracture of the right hip. Hemodynamically she is stable, what would be the treatment of choice?","Hemodynamically she is stable, what would be the treatment of choice?","
A. Reduction, open if necessary, and osteosynthesis of the fracture in the first 24-36 hours 
B. Total hip resurfacing arthroplasty on Monday on a scheduled basis 
C. Wait for improvement of the cranial trauma and schedule the following week a scheduled surgery consisting of reduction and osteosynthesis of the fracture 
D. Given the risk of non-union of these types of fracture, I would perform an emergency bipolar hip hemiarthroplasty
",A,A,True,"A. This is the most appropriate immediate treatment for a displaced intracapsular fracture of the right hip in this scenario. The patient is hemodynamically stable, which allows for prompt surgical intervention. Immediate reduction and stabilization of the fracture can prevent complications such as avascular necrosis and improve functional outcomes. Open reduction and internal fixation (osteosynthesis) is often preferred over closed reduction due to the need for precise alignment and stability. B. This option is incorrect because it suggests scheduling a total hip resurfacing arthroplasty on a Monday, which is not indicated for a displaced intracapsular fracture. Total hip resurfacing is typically reserved for younger patients with osteoarthritis and is not the standard treatment for a fracture. C. While this option considers the patient's other injuries, it is not the best course of action. The patient's hemodynamic stability allows for immediate surgical intervention, and delaying treatment could lead to complications such as malunion or nonunion of the fracture. Waiting for improvement in cranial trauma before addressing the hip fracture is not advisable given the patient's current condition. D. An emergency bipolar hip hemiarthroplasty is generally not the first-line treatment for a displaced intracapsular fracture, especially in a young patient. This procedure is more commonly used in cases where there is significant bone loss or when the patient has multiple comorbidities that make open reduction and internal fixation risky. Given the patient's age and the nature of the injury, immediate reduction and fixation are more appropriate. In conclusion, the priority should be to address the hip fracture promptly while managing the other injuries, making option A the best choice.",0.0,0.0272,0.109,0.0565,0.0,0.0424,0.0424,0.4403,0.5645,0.7127
"A 61-year-old woman, administrative, with a history of overweight, hypertension, dyslipidemia and metabolic syndrome, who consults for pain in both buttocks, left trochanteric region, lateral aspect of the left thigh up to the knee and left leg up to the middle third. The pain appears when the lower limb is lifted with the knee extended, but is relieved when the knee is flexed. What is the first clinical suspicion?",What is the first clinical suspicion?,"
A. Gouty arthritis of left hip 
B. Left coxofemoral arthrosis 
C. Radiated low back pain / lumbosciatica 
D. Claudication due to canal stenosis
",C,B,False,"- Option A (Gouty arthritis of left hip): While gout can cause severe pain in the hip and surrounding areas, it typically presents with sudden onset, intense pain, swelling, redness, and warmth over the affected joint. The patient's symptoms do not align well with the classic presentation of gout, as the pain is more chronic and associated with specific movements rather than being acute and inflammatory. - Option B (Left coxofemoral arthrosis): This condition involves degeneration of the hip joint, which can lead to pain that radiates down the thigh and into the leg, especially when lifting the leg with the knee extended. The relief experienced when the knee is flexed suggests that the pain is exacerbated by certain positions or activities that stress the hip joint, which is consistent with coxofemoral arthrosis. - Option C (Radiated low back pain / lumbosciatica): Low back pain that radiates down the leg (sciatica) usually follows the distribution of the sciatic nerve and often includes symptoms like numbness, tingling, or weakness in the leg. The pattern of pain described does not fit the typical sciatic nerve distribution, which would generally start in the lower back and travel down the back of the leg. - Option D (Claudication due to canal stenosis): Claudication refers to pain in the legs during exercise, which is caused by reduced blood flow due to narrowed arteries (peripheral artery disease). The pain in this case is not related to exercise but rather to specific movements involving the hip and knee. Additionally, the pain pattern described does not match the classic intermittent claudication seen in peripheral arterial disease, which typically improves with rest and worsens with activity. Given the patient's history of overweight, hypertension, dyslipidemia, and metabolic syndrome, along with the specific nature of the pain (worsened by extending the knee and relieved by flexing it), the most likely diagnosis is left coxofemoral arthrosis.",0.0,0.0055,0.0351,0.0126,0.0,0.0126,0.0126,0.3655,0.53,0.5786
"A 32-year-old diabetic patient on insulin therapy with good control of his blood glucose levels comes to your office with tingling in both hands, with a sensation of corking and thermal insensitivity of progressive onset over the course of 2 weeks. She does not report visual disturbances, strength deficit, motor clumsiness or other symptoms. On examination she found anesthesia to pain and temperature in both hands and distal forearms; positional and vibratory sensitivity were preserved. There is no muscle atrophy or strength deficit. Muscle reflexes are normal and symmetrical. There is no dysmetria, dysdiadochokinesia or intention tremor. The rest of the neurological examination is strictly normal. Indicate the most likely diagnosis in this case:",Indicate the most likely diagnosis in this case:,"
A. Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause 
B. Compressive cervical spinal cord injury 
C. Bilateral carpal tunnel syndrome 
D. Multiple sclerosis type demyelinating disease 
E. Central cervical spinal cord injury
",E,C,False,"- Option A (Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause): While diabetes can lead to peripheral neuropathy, the pattern described—specifically anesthesia to pain and temperature without muscle weakness or atrophy—is more characteristic of a focal compression rather than a diffuse neuropathy. Additionally, diabetic neuropathy typically presents with more widespread sensory deficits rather than being confined to the distal extremities. - Option B (Compressive cervical spinal cord injury): This would present with more severe and widespread neurological deficits, including motor weakness, sensory loss, and possibly autonomic dysfunction. The patient's findings do not suggest any significant motor or autonomic involvement, making this less likely. - Option C (Bilateral carpal tunnel syndrome): This condition involves compression of the median nerve as it passes through the carpal tunnel in the wrist. Symptoms include tingling, numbness, and a sensation of ""corking"" in the hands, which can progress over time. The preservation of vibration sense and muscle strength, along with the absence of motor symptoms, aligns well with the clinical presentation of carpal tunnel syndrome. - Option D (Multiple sclerosis type demyelinating disease): MS typically presents with a wide range of symptoms including visual disturbances, motor weakness, and sensory changes that can be quite variable and often involve multiple areas of the nervous system. The specific pattern of sensory loss described here is not typical for MS. - Option E (Central cervical spinal cord injury): This would result in more extensive neurological deficits, including motor weakness, sensory loss, and potentially bowel/bladder dysfunction. The patient's findings do not support a central lesion. Given the specific sensory deficits localized to the hands and distal forearms, with preservation of vibration sense and muscle strength, and the absence of motor or autonomic symptoms, bilateral carpal tunnel syndrome is the most likely diagnosis.",0.0029,0.0203,0.1656,0.0397,0.02,0.0265,0.0265,0.3855,0.5489,0.6332
"A 37-year-old man presents with arthritis of the metacarpophalangeal joints of both hands and right pleuritis. Bilateral malar erythema is seen on examination. Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","
A. Glucocorticoids at high doses 
B. Glucocorticoids and mycophenolate 
C. Nonsteroidal anti-inflammatory drugs and antimalarials 
D. The picture will probably be self-limited and does not require treatment
",A,C,False,"Given the clinical presentation of arthritis in the metacarpophalangeal joints, bilateral malar erythema, and positive antinuclear antibodies (ANA) with a titer of 1/640 and positive anti-native DNA antibodies, these findings are highly suggestive of systemic lupus erythematosus (SLE). The absence of anti-Sm antibodies is consistent with SLE, as anti-Sm antibodies are more specific to systemic lupus nephritis and other forms of lupus. Option A (Glucocorticoids at high doses) is often used in severe cases of SLE, particularly when there is significant organ involvement such as renal or central nervous system involvement. However, it is not typically the first-line treatment for the musculoskeletal and cutaneous manifestations described here. Option B (Glucocorticoids and mycophenolate) is a combination that might be used in more severe cases of SLE, especially if there is active inflammation requiring immunosuppression beyond what can be achieved with glucocorticoids alone. However, it is not the initial treatment of choice for the symptoms presented. Option D (The picture will probably be self-limited and does not require treatment) is incorrect because SLE is a chronic autoimmune disease that requires ongoing management. While some patients may have mild, self-limiting episodes, the presence of multiple organ-specific antibodies and the clinical manifestations suggest an active disease process that needs intervention. Option C (Nonsteroidal anti-inflammatory drugs and antimalarials) is the most appropriate initial treatment for the musculoskeletal and cutaneous manifestations of SLE. NSAIDs can help manage joint pain and inflammation, while antimalarials like hydroxychloroquine can reduce skin rashes and joint pain, and may also have a role in preventing flares. These treatments are commonly used as the first step in managing milder to moderate SLE before considering more potent immunosuppressive agents.",0.0097,0.0703,0.2464,0.1465,0.0833,0.1274,0.1274,0.5217,0.5362,0.6292
"A 75-year-old woman consults for violaceous lesions on the hands and neck together with progressive muscle weakness of 3 months of evolution. What diagnostic tests, among those indicated, can be useful for the diagnosis?","What diagnostic tests, among those indicated, can be useful for the diagnosis?","
A. Determination of serum aldolase 
B. Electroencephalogram 
C. Biopsy of subcutaneous cellular tissue 
D. Determination of anti-smooth muscle antibodies 
E. Genetic study of their descendants
",A,C,False,"- Option A: Determination of serum aldolase - This test is not typically used to diagnose conditions associated with violaceous lesions and progressive muscle weakness. Aldolase is an enzyme that can be elevated in various conditions, including muscle diseases, but it is not specific enough for this clinical presentation. - Option B: Electroencephalogram (EEG) - An EEG is used to evaluate brain function and is not relevant for diagnosing skin lesions or muscle weakness. It is primarily used to diagnose neurological disorders such as epilepsy. - Option C: Biopsy of subcutaneous cellular tissue - This is the most appropriate test for evaluating violaceous lesions. A biopsy can help identify the nature of the lesion, whether it is inflammatory, infectious, or neoplastic, which is crucial for determining the underlying cause of the symptoms. - Option D: Determination of anti-smooth muscle antibodies - These antibodies are more commonly associated with autoimmune liver diseases and certain gastrointestinal disorders. They are not typically indicative of the skin and muscle symptoms described. - Option E: Genetic study of their descendants - While genetic testing can be important in some cases of muscle weakness and skin changes, especially if there is a family history of similar symptoms, it is not the first-line diagnostic test for the presented symptoms. Genetic studies are usually considered after other more immediate and relevant tests have been performed. Given the combination of violaceous lesions and progressive muscle weakness, a biopsy of the affected tissue would provide critical information about the nature of the lesions and could help guide further diagnostic and therapeutic steps.",0.0,0.0277,0.1499,0.0451,0.0152,0.0301,0.0301,0.4657,0.5563,0.5966
"A 67-year-old man, ex-smoker, with a diagnosis of severe COPD (multidimensional index BODE 5, FEVl 38%, body mass index 23, dyspnea index according to the mMRC 3 scale, distance covered in the 6-minute walk test 260 m) who has had 3 hospital admissions for exacerbation of his COPD in the last 7 months, comes to the consultation. She also has a history of hypertension, ischemic heart disease with AMI 5 years ago and intermittent claudication. In the clinical examination, there is a decrease in vesicular murmur with expiratory wheezing in both lung fields and an oximetry saturation of 88%. Which of the following therapeutic strategies would NOT be recommended for this patient?",Which of the following therapeutic strategies would NOT be recommended for this patient?,"
A. Adjustment of inhaled therapy with long-acting bronchodilators combining anticholinergics and beta-2 adrenergics with inhaled glucocorticoids 
B. Start oral glucocorticoids for 6 months to control exacerbations 
C. Check that the patient performs the inhalation technique correctly 
D. Initiate chronic home oxygen therapy regimen
",B,B,True,"A. Adjustment of inhaled therapy with long-acting bronchodilators combining anticholinergics and beta-2 adrenergics with inhaled glucocorticoids - This is a reasonable strategy as it can help manage symptoms and reduce exacerbations in patients with severe COPD. Long-acting bronchodilators combined with inhaled glucocorticoids have been shown to improve lung function and reduce exacerbations in patients with severe COPD. B. Start oral glucocorticoids for 6 months to control exacerbations - This is not typically recommended as a routine treatment for COPD. Oral glucocorticoids are generally reserved for short-term use during exacerbations to reduce inflammation and improve symptoms. Long-term use of oral glucocorticoids can lead to significant side effects such as osteoporosis, diabetes, hypertension, and increased risk of infections. C. Check that the patient performs the inhalation technique correctly - Ensuring proper inhalation technique is crucial for effective delivery of inhaled medications. Poor technique can lead to suboptimal drug delivery and reduced efficacy of the treatment. Therefore, this is a recommended step in managing COPD. D. Initiate chronic home oxygen therapy regimen - Chronic home oxygen therapy is indicated in patients with COPD who have a resting PaO2 ≤ 80 mmHg or a history of chronic hypoxemia. Given the patient's oximetry saturation of 88% at rest, which is within the normal range, initiating chronic home oxygen therapy would not be appropriate unless there is evidence of chronic hypoxemia or other indications. In summary, while options A, C, and D are all reasonable and potentially beneficial strategies for managing this patient's COPD, option B is not recommended due to the potential for significant side effects associated with long-term use of oral glucocorticoids.",0.0,0.0306,0.1757,0.0775,0.0284,0.0563,0.0563,0.4442,0.5173,0.6192
"An 87-year-old woman with a history of hypertension was admitted 48 hours ago to the coronary unit for acute myocardial infarction with ST-segment elevation of anterior location. She reported dyspnea. Examination revealed a systolic murmur with fremitus, radiating to the right sternal border, which was not present on admission. What complication do you suspect?",What complication do you suspect?,"
A. Heart failure due to extensive necrosis 
B. Anterior aneurysm 
C. Left ventricular free wall rupture 
D. Rupture in the interventricular septum
",D,C,False,"A. Heart failure due to extensive necrosis: While this is a common complication of acute myocardial infarction (AMI), it does not typically present with a new systolic murmur that radiates to the right sternal border. The presence of a new systolic murmur suggests a more localized structural abnormality rather than generalized heart failure. B. Anterior aneurysm: An anterior aneurysm can occur after AMI but usually presents as a localized bulge on the chest wall or a pericardial friction rub, not a new systolic murmur radiating to the right sternal border. C. Left ventricular free wall rupture: This is a rare but serious complication of AMI, particularly in elderly patients with significant coronary artery disease. It occurs when the weakened myocardium of the left ventricle ruptures through the free wall, leading to a sudden onset of severe pain, hypotension, and shock. The new systolic murmur with fremitus and radiation to the right sternal border is characteristic of a ventricular septal defect or a ventricular septal perforation, both of which can result from a rupture in the left ventricular free wall. The murmur is heard because of the turbulent blood flow through the defect, and the fremitus and radiation to the right sternal border suggest that the defect is large enough to cause significant hemodynamic instability. D. Rupture in the interventricular septum: While a rupture in the interventricular septum can also occur, it is less common than a rupture in the left ventricular free wall. Additionally, the clinical presentation would be similar to a left ventricular free wall rupture, with a new systolic murmur and signs of hemodynamic instability. However, the specific mention of fremitus and radiation to the right sternal border makes the left ventricular free wall rupture more likely. Given the patient's age, history of hypertension, and the new systolic murmur with fremitus and radiation to the right sternal border, the most likely complication is a left ventricular free wall rupture.",0.0,0.0028,0.0244,0.0061,0.0,0.0061,0.0061,0.3164,0.4531,0.5261
