background,question,option,ground_truth,prediction,acc,explanation,bleu4,bleu1,meteor,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,bertscore_f1_avg_sent,bertscore_f1_max_sent
"An 18-month-old boy, with complete immunization schedule to date, who consults the Emergency Department for right knee swelling after playing in the park, without obvious trauma. In the directed anamnesis, the mother refers that an uncle of hers had similar problems. The ultrasound examination is compatible with hemarthrosis and in the analytical analysis only an APTT lengthening of 52'' (normal 25-35'') stands out. What is the most probable diagnostic hypothesis?",What is the most probable diagnostic hypothesis?,"
A. Marfan syndrome 
B. Von-Willebrand's disease 
C. Ehlers-Danlos disease 
D. Hemophilia A 
E. Bernard-Soulier disease
",D,D,True,"Hemophilia A, also known as Factor VIII deficiency, is the most probable diagnosis in this case. Here’s the reasoning behind this: 1. Clinical Presentation: The child presents with a hemarthrosis (bleeding into the joint) without any apparent trauma. This is a classic presentation for a bleeding disorder. 2. Family History: The mother mentions that her uncle had similar problems, which suggests a possible genetic predisposition. Hemophilia A is an X-linked recessive disorder, meaning it can be inherited from an affected male parent to his daughters. 3. Laboratory Findings: - APTT Lengthening: An activated partial thromboplastin time (aPTT) test is used to measure the intrinsic pathway of coagulation. A prolonged aPTT indicates a defect in the intrinsic pathway, which is consistent with Hemophilia A. - Normal PT (Prothrombin Time): Since the PT is normal, it rules out Factor II (prothrombin) deficiency, which is associated with Hemophilia B (Factor IX deficiency). 4. Other Options: - Marfan Syndrome: This is a connective tissue disorder characterized by abnormalities in the connective tissue, leading to various symptoms including joint hypermobility and cardiovascular issues. It does not typically present with hemarthrosis. - Von Willebrand Disease (VWD): While VWD can cause hemarthrosis, it is usually associated with a shortened aPTT rather than a prolonged one. Additionally, VWD is more commonly seen in females and often has a milder clinical course compared to Hemophilia A. - Ehlers-Danlos Syndrome: This is a group of disorders affecting the connective tissues, characterized by joint hypermobility and skin hyperextensibility. It does not typically present with hemarthrosis. - Bernard-Soulier Syndrome: This is a rare bleeding disorder caused by a deficiency or dysfunction of platelet glycoprotein Ib (GPIb). It is characterized by large platelets and increased bleeding tendency, but it does not typically present with hemarthrosis. Given the clinical presentation, family history, and laboratory findings, Hemophilia A is the most likely diagnosis. Further confirmatory tests such as Factor VIII activity levels would be necessary to definitively diagnose Hemophilia A.",0.0026,0.0103,0.0813,0.0242,0.0183,0.0242,0.0242,0.4076,0.557,0.6642
"We are consulted by an 84-year-old woman for insomnia of conciliation. After failing sleep hygiene measures, it is decided to initiate pharmacological treatment. Which of the following drugs would you select for the patient?",Which of the following drugs would you select for the patient?,"
A. Diacepam 
B. Lormetacepam 
C. Phenobarbital 
D. Chlordiazepoxide 
E. Chloracepate
",B,D,False,"Chlordiazepoxide (also known as Librium) is the most appropriate choice among the options provided for treating insomnia in an 84-year-old woman who has failed sleep hygiene measures. 1. Diacepam (Diazepam): This is a benzodiazepine that can be effective for treating insomnia. However, it has a higher risk of dependency and side effects compared to other options, especially in older adults. Given the patient's age, this might not be the safest initial choice. 2. Lormetacepam: This is a newer benzodiazepine that is less commonly used due to its limited availability and potential for abuse. It is not typically recommended for long-term use and may not be readily available in all regions. 3. Phenobarbital: This is an older anticonvulsant that can be used for insomnia but has significant side effects such as drowsiness, cognitive impairment, and dependence. It is generally not preferred for elderly patients due to these risks. 4. Chlordiazepoxide (Librium): This is a long-acting benzodiazepine that is well-tolerated and has a lower risk of dependency compared to some other benzodiazepines. It is often considered a safer option for older adults because of its longer duration of action, which can reduce the need for frequent dosing. Additionally, it has been shown to be effective in treating insomnia without causing significant cognitive impairment or daytime sedation. 5. Chloracepate: This is not a recognized drug name. If it refers to chlorazepate, it is another benzodiazepine with similar properties to chlordiazepoxide but with a slightly shorter half-life. It is also a good option for treating insomnia but carries similar risks of dependency and side effects. Given the patient's age and the need for a medication that is safe and effective, chlordiazepoxide (Librium) is the most suitable choice. It offers a balance between efficacy and safety, making it a reasonable first-line treatment option for her insomnia.",0.0,0.0115,0.0879,0.0374,0.0063,0.0312,0.0312,0.4248,0.5411,0.6199
"A 65-year-old woman consults for weakness in the right hand that has spread in a few months to other muscle territories of both arms and legs, with distal predominance. On examination there is atrophy and fasciculations in different metameric territories with preserved sensitivity. There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","There is a bilateral Babinski's sign, what is the diagnostic test that would confirm the suspected diagnosis?","
A. Cerebral CT 
B. Electromyographic study 
C. Cerebral MRI 
D. Multimodal evoked potentials
",B,B,True,"Electromyographic (EMG) studies are the diagnostic test that would most likely confirm the suspected diagnosis in this case. The symptoms described—progressive weakness in the right hand that has spread to other muscle territories of both arms and legs with distal predominance, along with atrophy and fasciculations—are consistent with a neuromuscular disorder affecting motor neurons. - Option A: Cerebral CT - This imaging technique is primarily used to detect structural abnormalities in the brain and spinal cord, such as tumors, hemorrhages, or fractures. It does not provide information about the electrical activity of muscles or nerve cells, which is crucial for diagnosing neuromuscular disorders. - Option B: Electromyographic study (EMG) - An EMG measures the electrical activity of muscles at rest and during contraction. In this patient, an EMG would show abnormal patterns of electrical activity due to denervation or muscle damage, which can help diagnose conditions like peripheral neuropathy, myopathy, or motor neuron disease. The presence of fasciculations and atrophy also supports a neuromuscular etiology. - Option C: Cerebral MRI - While MRI can provide detailed images of the brain and spinal cord, it is not typically used to diagnose neuromuscular disorders. It is more useful for detecting structural abnormalities, tumors, or demyelinating diseases that might affect the central nervous system. - Option D: Multimodal evoked potentials - These tests measure the electrical activity in the brain in response to various stimuli and can be useful in diagnosing conditions affecting the central nervous system. However, they do not specifically target the neuromuscular junction or the peripheral nerves, making them less relevant for diagnosing the specific type of neuromuscular disorder described here. Given the clinical presentation and the need to assess the electrical activity of muscles and nerve cells, an EMG is the most appropriate diagnostic tool for confirming the suspected diagnosis.",0.009,0.0387,0.2055,0.0767,0.0514,0.0575,0.0575,0.4574,0.5929,0.7254
"25-year-old patient, who suffers a motorcycle accident on a Friday night. He is taken to the emergency room and diagnosed with abdominal trauma (negative echo-fast), mild head trauma (Glasgow = 14) and a displaced intracapsular fracture of the right hip. Hemodynamically she is stable, what would be the treatment of choice?","Hemodynamically she is stable, what would be the treatment of choice?","
A. Reduction, open if necessary, and osteosynthesis of the fracture in the first 24-36 hours 
B. Total hip resurfacing arthroplasty on Monday on a scheduled basis 
C. Wait for improvement of the cranial trauma and schedule the following week a scheduled surgery consisting of reduction and osteosynthesis of the fracture 
D. Given the risk of non-union of these types of fracture, I would perform an emergency bipolar hip hemiarthroplasty
",A,A,True,"Option A is the most appropriate choice given the circumstances. The patient has a displaced intracapsular fracture of the right hip, which typically requires prompt surgical intervention to prevent complications such as non-union, malunion, or avascular necrosis of the femoral head. The Glasgow Coma Scale score of 14 indicates that the patient's level of consciousness is impaired but not severely so, suggesting that they can tolerate anesthesia and surgery. The fact that the patient is hemodynamically stable further supports the immediate need for surgical intervention. Option B is incorrect because total hip resurfacing arthroplasty is generally reserved for younger patients with specific indications, such as young adults with early-stage osteoarthritis. It is not typically indicated for displaced intracapsular fractures of the hip, especially when the patient is still ambulatory and conscious. Option C is incorrect because it suggests waiting for improvement in the head trauma before addressing the hip fracture. This approach could lead to delayed treatment, increasing the risk of complications such as avascular necrosis of the femoral head due to prolonged ischemia from the fracture. Option D is incorrect because while the risk of non-union is a concern, emergency bipolar hip hemiarthroplasty is usually considered only in cases where there is significant soft tissue damage or infection, which is not the case here. Additionally, the patient's Glasgow score of 14 suggests that they are conscious and able to tolerate anesthesia, making this procedure less urgent compared to the need for immediate stabilization of the hip fracture. In summary, the immediate reduction and osteosynthesis of the displaced intracapsular fracture of the right hip are critical to prevent long-term complications and ensure proper healing.",0.0,0.0236,0.1082,0.0481,0.0,0.0344,0.0344,0.4593,0.5699,0.6835
"A 61-year-old woman, administrative, with a history of overweight, hypertension, dyslipidemia and metabolic syndrome, who consults for pain in both buttocks, left trochanteric region, lateral aspect of the left thigh up to the knee and left leg up to the middle third. The pain appears when the lower limb is lifted with the knee extended, but is relieved when the knee is flexed. What is the first clinical suspicion?",What is the first clinical suspicion?,"
A. Gouty arthritis of left hip 
B. Left coxofemoral arthrosis 
C. Radiated low back pain / lumbosciatica 
D. Claudication due to canal stenosis
",C,D,False,"Option D, Claudication due to canal stenosis, is the most likely diagnosis based on the patient's symptoms and physical examination findings. The patient experiences pain in the buttocks, left trochanteric region, lateral aspect of the left thigh up to the knee, and left leg up to the middle third. This pain is exacerbated when the lower limb is lifted with the knee extended and relieved when the knee is flexed. These symptoms are characteristic of claudication, which is typically associated with peripheral artery disease (PAD) leading to narrowing of the arteries supplying blood to the legs. Claudication occurs when there is insufficient blood flow to meet the demands of walking, causing intermittent pain in the muscles of the leg. The pain usually subsides with rest and reoccurs upon resuming activity. The fact that the pain is alleviated when the knee is flexed suggests that the condition involves the arteries supplying the lower extremities, rather than the lumbar spine. Options A, B, and C can be ruled out for the following reasons: A. Gouty arthritis of the left hip: While gout can cause joint pain, it typically presents as sudden onset severe pain, swelling, redness, and warmth around the affected joint. It does not usually present with pain that is relieved by flexing the knee. B. Left coxofemoral arthrosis: This would involve pain in the hip joint itself, which is not described in this case. Additionally, pain from coxofemoral arthritis would not be localized to the lateral thigh and leg, nor would it be relieved by flexing the knee. C. Radiated low back pain/lumbosciatica: This condition would present with pain radiating down the leg from the lower back, often involving the sciatic nerve. The pain would typically be more pronounced when sitting, bending forward, or coughing, and would not be relieved by flexing the knee. Given the patient's history of obesity, hypertension, dyslipidemia, and metabolic syndrome, which are risk factors for peripheral arterial disease, the clinical suspicion of claudication due to canal stenosis is the most appropriate initial consideration. Further diagnostic tests such as an ankle-brachial index (ABI) test, Doppler ultrasound, or magnetic resonance angiography (MRA) would be necessary to confirm the diagnosis and guide treatment.",0.0,0.0095,0.0769,0.0213,0.0107,0.0213,0.0213,0.3985,0.5345,0.6088
"A 32-year-old diabetic patient on insulin therapy with good control of his blood glucose levels comes to your office with tingling in both hands, with a sensation of corking and thermal insensitivity of progressive onset over the course of 2 weeks. She does not report visual disturbances, strength deficit, motor clumsiness or other symptoms. On examination she found anesthesia to pain and temperature in both hands and distal forearms; positional and vibratory sensitivity were preserved. There is no muscle atrophy or strength deficit. Muscle reflexes are normal and symmetrical. There is no dysmetria, dysdiadochokinesia or intention tremor. The rest of the neurological examination is strictly normal. Indicate the most likely diagnosis in this case:",Indicate the most likely diagnosis in this case:,"
A. Peripheral sensitvo symmetric distal peripheral neuropathy of diabetic cause 
B. Compressive cervical spinal cord injury 
C. Bilateral carpal tunnel syndrome 
D. Multiple sclerosis type demyelinating disease 
E. Central cervical spinal cord injury
",E,A,False,"Given the patient's history of diabetes and the clinical presentation of tingling in both hands, a sensation of ""corking"" (a term often used to describe a feeling of numbness or lack of sensation), and progressive loss of pain and temperature sensation in the distal forearms, the most likely diagnosis is peripheral sensory neuropathy due to diabetes. 1. Peripheral Sensory Neuropathy (Diabetic Neuropathy): This is the most common type of neuropathy associated with diabetes. It typically presents as a symmetrical distal sensory loss, which matches the patient's symptoms. The progression of symptoms over two weeks aligns well with the typical course of diabetic neuropathy. The preservation of positional and vibratory sensations suggests that the damage is primarily affecting the sensory nerves rather than the motor or autonomic systems. 2. Compressive Cervical Spinal Cord Injury: While this can cause similar symptoms, it would usually present with more severe deficits such as weakness, atrophy, and possibly bowel/bladder dysfunction. The patient’s examination findings do not support this diagnosis. 3. Bilateral Carpal Tunnel Syndrome: This condition typically causes symptoms in the median nerve distribution, including pain, numbness, and weakness in the thumb, index, and middle fingers. The patient's symptoms are more generalized and do not fit the pattern of carpal tunnel syndrome. 4. Multiple Sclerosis (MS) Type Demyelinating Disease: MS is characterized by demyelination in the central nervous system, leading to various symptoms depending on the location and extent of the lesions. Symptoms like those described here are less likely to be attributed to MS, especially given the absence of other MS-related symptoms such as visual disturbances, strength deficits, or cognitive changes. 5. Central Cervical Spinal Cord Injury: This would present with more severe symptoms, including quadriplegia, respiratory issues, and significant motor and sensory deficits. The patient's examination findings, particularly the preservation of muscle reflexes and strength, rule out this possibility. In summary, the patient's symptoms and examination findings are consistent with peripheral sensory neuropathy secondary to diabetes, making option A the most appropriate choice.",0.0026,0.0181,0.1125,0.0347,0.0174,0.0347,0.0347,0.4094,0.5492,0.6525
"A 37-year-old man presents with arthritis of the metacarpophalangeal joints of both hands and right pleuritis. Bilateral malar erythema is seen on examination. Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","Positive antinuclear antibodies were detected (titer 1/640), with anti native DNA antibodies also positive; anti-Sm negative What would be the initial treatment of choice for this patient?","
A. Glucocorticoids at high doses 
B. Glucocorticoids and mycophenolate 
C. Nonsteroidal anti-inflammatory drugs and antimalarials 
D. The picture will probably be self-limited and does not require treatment
",A,A,True,"Given the clinical presentation of arthritis of the metacarpophalangeal joints of both hands and right pleuritis, along with bilateral malar erythema and positive antinuclear antibodies (ANA) with anti-native DNA antibodies positive and anti-Sm antibodies negative, the patient likely has Systemic Lupus Erythematosus (SLE). This diagnosis is supported by the presence of autoantibodies characteristic of SLE. For patients with SLE, the initial treatment often involves glucocorticoids due to their potent anti-inflammatory and immunosuppressive properties. High-dose glucocorticoids are typically used in the acute phase of SLE to control severe symptoms such as arthritis, pleuritis, and malar rash. They can help reduce inflammation and prevent organ damage. While nonsteroidal anti-inflammatory drugs (NSAIDs) and antimalarials can be used as adjuncts to manage pain and skin manifestations, they are not the primary initial treatment for SLE. Mycophenolate is generally reserved for more specific indications in SLE, such as refractory cases or when there is significant organ involvement, but it is not typically the first-line treatment. Therefore, the most appropriate initial treatment for this patient would be high-dose glucocorticoids. Additional supportive care might include antimalarials for skin lesions and NSAIDs for joint pain, but these should be used in conjunction with glucocorticoids rather than as the primary treatment.",0.0,0.0881,0.2568,0.1765,0.1017,0.1597,0.1597,0.5292,0.5549,0.6367
"A 75-year-old woman consults for violaceous lesions on the hands and neck together with progressive muscle weakness of 3 months of evolution. What diagnostic tests, among those indicated, can be useful for the diagnosis?","What diagnostic tests, among those indicated, can be useful for the diagnosis?","
A. Determination of serum aldolase 
B. Electroencephalogram 
C. Biopsy of subcutaneous cellular tissue 
D. Determination of anti-smooth muscle antibodies 
E. Genetic study of their descendants
",A,C,False,"- Option A (Determination of serum aldolase): This test is typically used to assess liver function and is not specific to the symptoms described in this case. Therefore, it is not a useful diagnostic test for the patient's condition. - Option B (Electroencephalogram): This test measures electrical activity in the brain and is primarily used to diagnose neurological disorders such as epilepsy. It is not relevant to the patient's symptoms of violaceous lesions and progressive muscle weakness. - Option C (Biopsy of subcutaneous cellular tissue): This is a crucial diagnostic tool for identifying certain types of autoimmune diseases, particularly systemic sclerosis (also known as scleroderma). The biopsy can help identify characteristic changes in the skin and connective tissues that are indicative of this condition. Given the patient's age and the presence of both skin lesions and muscle weakness, a biopsy could be highly informative. - Option D (Determination of anti-smooth muscle antibodies): These antibodies are associated with certain autoimmune conditions, including systemic sclerosis. Testing for these antibodies would be useful in confirming a diagnosis of systemic sclerosis, which could explain the patient's symptoms. - Option E (Genetic study of their descendants): While genetic studies can sometimes provide insights into inherited conditions, they are not directly relevant to diagnosing the current symptoms of the patient. The patient's symptoms suggest an acquired rather than an inherited condition. Given the clinical presentation of the patient, a biopsy of subcutaneous cellular tissue (Option C) and testing for anti-smooth muscle antibodies (Option D) are the most appropriate diagnostic tests to consider. Both options are more likely to yield information about the underlying cause of the patient's symptoms.",0.0,0.0319,0.1759,0.0557,0.0211,0.0418,0.0418,0.4669,0.5709,0.6552
"A 67-year-old man, ex-smoker, with a diagnosis of severe COPD (multidimensional index BODE 5, FEVl 38%, body mass index 23, dyspnea index according to the mMRC 3 scale, distance covered in the 6-minute walk test 260 m) who has had 3 hospital admissions for exacerbation of his COPD in the last 7 months, comes to the consultation. She also has a history of hypertension, ischemic heart disease with AMI 5 years ago and intermittent claudication. In the clinical examination, there is a decrease in vesicular murmur with expiratory wheezing in both lung fields and an oximetry saturation of 88%. Which of the following therapeutic strategies would NOT be recommended for this patient?",Which of the following therapeutic strategies would NOT be recommended for this patient?,"
A. Adjustment of inhaled therapy with long-acting bronchodilators combining anticholinergics and beta-2 adrenergics with inhaled glucocorticoids 
B. Start oral glucocorticoids for 6 months to control exacerbations 
C. Check that the patient performs the inhalation technique correctly 
D. Initiate chronic home oxygen therapy regimen
",B,B,True,"Option A is recommended as it addresses the need for long-term control of symptoms and reduces the risk of exacerbations. This includes adjusting inhaled therapy with long-acting bronchodilators combined with anticholinergics and beta-2 agonists, along with inhaled glucocorticoids, which can help manage inflammation and improve lung function. Option B is not recommended because starting oral glucocorticoids for 6 months is generally not considered standard practice for patients with stable COPD. While short-term use of oral corticosteroids may be necessary during acute exacerbations, their use for prolonged periods is associated with significant side effects such as osteoporosis, diabetes, and increased cardiovascular risk. Therefore, this approach is not appropriate for a patient with stable COPD. Option C is recommended as it ensures that the patient is using the inhalers correctly, which is crucial for effective treatment adherence and symptom management. Option D is also recommended as it is often indicated for patients with severe COPD who have a low SpO2 level, especially when they have a history of hypoxemia. Chronic home oxygen therapy can improve quality of life and reduce hospitalizations. In summary, while options A, C, and D are all beneficial for managing this patient's condition, option B is not recommended due to the potential risks associated with prolonged oral corticosteroid use in stable COPD.",0.0,0.0298,0.1756,0.0776,0.0087,0.069,0.069,0.4681,0.5665,0.6538
"An 87-year-old woman with a history of hypertension was admitted 48 hours ago to the coronary unit for acute myocardial infarction with ST-segment elevation of anterior location. She reported dyspnea. Examination revealed a systolic murmur with fremitus, radiating to the right sternal border, which was not present on admission. What complication do you suspect?",What complication do you suspect?,"
A. Heart failure due to extensive necrosis 
B. Anterior aneurysm 
C. Left ventricular free wall rupture 
D. Rupture in the interventricular septum
",D,C,False,"- Option C (Left ventricular free wall rupture): This is the most likely complication given the patient's presentation. The systolic murmur with fremitus, radiating to the right sternal border, suggests a possible perforation or rupture of the left ventricular free wall. This condition can cause pericardial tamponade, pleural effusion, or even cardiac tamponade, leading to dyspnea and other symptoms. The absence of this murmur on admission could indicate that the rupture occurred after the initial presentation. - Option A (Heart failure due to extensive necrosis): While heart failure can occur as a complication of myocardial infarction, the presence of a new systolic murmur and its location (radiating to the right sternal border) is more indicative of a mechanical complication rather than heart failure alone. - Option B (Anterior aneurysm): An aneurysm typically presents with a continuous or crescendo-decrescendo murmur, which is not described here. Additionally, an aneurysm would not explain the sudden onset of dyspnea and the specific location of the murmur. - Option D (Rupture in the interventricular septum): This complication is less common and usually presents with a mid-systolic click followed by a late systolic murmur. It also does not typically cause a radiating murmur to the right sternal border. Given the clinical scenario, the most plausible complication is a left ventricular free wall rupture, which can lead to significant hemodynamic instability and respiratory distress.",0.0,0.0038,0.0158,0.0087,0.0,0.0087,0.0087,0.3446,0.4821,0.5287
