background,question,option,ground_truth,prediction,acc,explanation,bleu4,bleu1,meteor,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,bertscore_f1_avg_sent,bertscore_f1_max_sent
"A 30-year-old woman comes to the office because of a 3-day history of joint pain in her hands and a rash over her chest and arms that is slowly resolving. The joint pain in her hands has persisted and is exacerbated by writing or typing. She rates the pain as a 3 on a 10-point scale. The patient is a preschool teacher and reports that one of her students had a facial rash and fever 1 week prior to the development of her symptoms. The patient's medical history is unremarkable and her only medication is an oral contraceptive. She is in a monogamous relationship with her husband. She does not smoke cigarettes, drink alcoholic beverages, or use illicit drugs. BMI is 22 kg/m² . Vital signs are temperature 38.1°C (100.5°F), pulse 94/min, respirations 18/min, and blood pressure 107/58 mm Hg. Physical examination discloses a blanching, erythematous, papular rash on the anterior chest and proximal upper extremities. The first and second metacarpophalangeal joints of both hands are tender and swollen. The wrist joints also are tender to palpation but there is minimal swelling. Which of the following microorganisms is most likely to have caused this patient's symptoms?",Which of the following microorganisms is most likely to have caused this patient's symptoms?,"
A. Adenovirus 
B. Borrelia burgdorferi 
C. Coxsackievirus 
D. Ehrlichia chaffeensis 
E. Parvovirus B19
",E,A,False,"Adenoviruses are a group of viruses that can cause various diseases, including respiratory infections, gastroenteritis, conjunctivitis, and more rarely, skin rashes. They are known for their ability to infect multiple cell types within the body, which allows them to produce systemic symptoms such as fever, fatigue, and malaise. In this case, the patient presents with a 3-day history of joint pain in her hands and a rash over her chest and arms that is slowly resolving. The presence of a rash and joint pain suggests a viral infection, particularly one that affects connective tissues like the skin and joints. Adenoviruses are common causes of these symptoms, especially when they affect the respiratory system, leading to conditions like adenoviral pneumonia or pharyngitis. Additionally, the patient mentions having a student who developed a facial rash and fever 1 week prior to her own symptoms. This temporal association further supports the possibility of an adenovirus infection, as it often follows close contact between individuals. Options B, C, D, and E are less likely candidates: - Borrelia burgdorferi: This bacterium primarily causes Lyme disease, which typically presents with a characteristic bull's-eye rash at the site of tick bite followed by joint inflammation. - Coxsackievirus: While this virus can cause hand-foot-mouth disease and other conditions, it is less commonly associated with systemic symptoms like those described here. - Ehrlichia chaffeensis: This bacterium is responsible for human ehrlichiosis, which usually presents with fever, headache, and muscle aches rather than the specific combination of rash and joint pain seen in this case. - Parvovirus B19: This virus is known to cause fifth disease, characterized by a distinctive red rash on the cheeks and trunk, along with mild flu-like symptoms. It is less likely to present with joint pain unless secondary complications occur. Given the clinical presentation and the temporal association with another infected individual, adenovirus stands out as the most probable causative agent.",0.0,0.0222,0.1568,0.0661,0.006,0.042,0.042,0.4864,0.582,0.6584
"A 34-year-old woman comes to the office because of a 1-month history of worsening right upper quadrant abdominal pain and discomfort. She describes the pain as a dull ache and says it is not affected by eating or defecating. She has not had nausea or changes in appetite or bowel habits. She feels the pain constantly while she is awake, but it rarely keeps her from sleeping. Acetaminophen provides occasional relief. She has been otherwise healthy. Medical history is unremarkable and her only other medication is an oral contraceptive. Vital signs are normal. Abdominal examination discloses hepatomegaly but no palpable masses or evidence of cirrhosis. Results of liver function tests and serum α-fetoprotein concentration are within the reference ranges. Serologic studies for hepatitis B and C are negative. Ultrasonography of the abdomen shows a 4×4-cm mass in the right lobe of the liver. Which of the following is the most likely diagnosis?",Which of the following is the most likely diagnosis?,"
A. Hepatic adenoma 
B. Hepatocellular cancer 
C. Hydatid cyst 
D. Metastatic ovarian cancer
",A,A,True,"Hepatic adenomas are benign tumors that arise from the liver parenchyma. They are relatively common, accounting for approximately 5-10% of all primary hepatic neoplasms. The most typical presentation is asymptomatic, often discovered incidentally on imaging studies such as ultrasound or CT scans. Symptoms may include mild jaundice, abdominal pain, and weight loss, although many patients have no symptoms at all. In this case, the patient's symptoms (dull ache, constant pain) align well with those of a hepatic adenoma. The fact that the pain is relieved by acetaminophen further supports this diagnosis, as acetaminophen can be effective in managing non-specific musculoskeletal pain without affecting liver function. The ultrasonographic finding of a 4x4 cm mass in the right lobe of the liver strongly suggests a hepatic adenoma. This size and location are consistent with a hepatic adenoma, which typically grows slowly over time and does not metastasize. Options B, C, and D are less likely given the clinical presentation: B. Hepatocellular carcinoma (HCC): While HCC can present with similar symptoms, it usually involves more advanced stages and is associated with significant liver dysfunction, which is not evident here. C. Hydatid cyst: This condition is caused by larval migration through the liver due to Echinococcus granulosus infection. It presents with specific symptoms like intermittent fever, coughing, and abdominal pain, none of which match the patient's description. D. Metastatic ovarian cancer: Ovarian cancers do not commonly spread to the liver; they typically affect the ovaries themselves. Additionally, the presence of ascites would be expected if there were metastases to the peritoneum, which is not mentioned in the patient's history. Therefore, based on the clinical presentation, imaging findings, and laboratory results, the most likely diagnosis is a hepatic adenoma.",0.003,0.0209,0.1812,0.0537,0.027,0.0537,0.0537,0.4399,0.5419,0.6418
"A 12-year-old girl is brought to the emergency department by her mother because of a 1-week history of worsening swelling in her legs. The patient also noticed blood in her urine yesterday. The bleeding has not recurred. She had an upper respiratory tract infection and sore throat 1 week ago that caused her to miss several days of school. Medical history is otherwise unremarkable and she takes no routine medications. Menarche has not yet occurred. BMI is 20 kg/m². Vital signs are temperature 37.0°C (98.6°F), pulse 78/min, respirations 12/min, and blood pressure 136/84 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 100%. Physical examination discloses erythema of the posterior pharynx, mild cervical lymphadenopathy, and 3+ pitting edema to both knees. Results of urinalysis are shown: Protein: 150 mg/dL Blood: Positive Leukocyte esterase: Positive Nitrite: Negative WBCs: 5−10/hpf RBCs: 10−25/hpf Casts:1−2/lpf Results of which of the following laboratory studies are most likely to be abnormal in this patient?",Results of urinalysis are shown: Protein: 150 mg/dL Blood: Positive Leukocyte esterase: Positive Nitrite: Negative WBCs: 5−10/hpf RBCs: 10−25/hpf Casts:1−2/lpf Results of which of the following laboratory studies are most likely to be abnormal in this patient?,"
A. Bleeding time 
B. Erythrocyte count 
C. Serum concentration of C3 
D. Serum IgA concentration 
E. Serum rheumatoid factor assay
",C,C,True,"The patient's symptoms, including leg swelling, blood in the urine, and pitting edema, suggest a possible diagnosis of acute glomerulonephritis. This condition can occur after infections, particularly those involving the urinary tract or respiratory system. In cases of acute glomerulonephritis, there is often an increase in serum complement levels due to the body's immune response against the antigen-antibody complexes formed during the infection. Option A (Bleeding time) would typically be normal in patients without significant hemodynamic instability or active bleeding. Option B (Erythrocyte count) might be elevated if there is ongoing inflammation or tissue damage but does not specifically indicate kidney involvement. Option D (Serum IgA concentration) could potentially be increased in certain autoimmune conditions like systemic lupus erythematosus, but it is not specific for acute glomerulonephritis. Option E (Serum rheumatoid factor assay) is more relevant for diagnosing rheumatoid arthritis rather than acute glomerulonephritis. Therefore, the abnormal finding in this patient's case would be an elevated serum concentration of C3, reflecting the presence of immune complex deposition in the kidneys associated with acute glomerulonephritis.",0.0,0.0452,0.1383,0.0987,0.0181,0.0807,0.0807,0.4694,0.4849,0.5208
"A 45-year-old woman comes to the office because she has noticed during the past several months that her fingernails have become white, increasingly brittle, and seem to lift off her nail beds easily. During this time, she also has had episodes of feeling warm and perspiring. Medical history is remarkable for intravenous drug use 25 years ago. The patient takes only a multivitamin. Last menstrual period was 3 weeks ago. She appears thin and mildly anxious. She is 170 cm (5 ft 7 in) tall and weighs 48.5 kg (107 lb); BMI is 17 kg/m² . Vital signs are temperature 37.0°C (98.6°F), pulse 106/min, respirations 20/min, and blood pressure 136/92 mm Hg. Physical examination of the hands shows a white discoloration of the nail beds. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Which of the following is the most likely diagnosis?,"
A. Chronic obstructive pulmonary disease 
B. Diabetes mellitus 
C. Endocarditis 
D. Hyperthyroidism 
E. Perimenopause
",D,E,False,"Perimenopause is the transitional stage leading up to menopause when ovarian function begins to decline, resulting in irregular menstrual cycles and hormonal changes. These hormonal fluctuations can lead to various symptoms such as hot flashes, night sweats, mood swings, and changes in skin texture, including nails becoming brittle and lifting off the nail bed. In this case, the patient's symptoms align closely with those associated with perimenopause. The mention of increased nail brittleness and the sensation of warmth and sweating are common manifestations of perimenopausal transition. Additionally, the patient's age (45 years old) and medical history (intravenous drug use 25 years ago) support the likelihood of perimenopause rather than other conditions listed. Options Analysis: - A. Chronic obstructive pulmonary disease (COPD): While COPD can cause nail changes like brittleness, it typically presents with more severe respiratory symptoms and does not include the specific symptoms mentioned. - B. Diabetes mellitus: Although diabetes can affect nail health, the described symptoms do not match typical diabetic nail changes. - C. Endocarditis: This condition involves inflammation of the heart valves and endocardium, which would present with different symptoms and findings on physical examination. - D. Hyperthyroidism: Thyroid disorders often manifest with weight loss, palpitations, and heat intolerance, but they generally do not cause nail changes like brittleness and lifting off the nail bed. - E. Perimenopause: This is the most appropriate diagnosis given the patient's age, symptomatology, and medical history.",0.0,0.0216,0.1226,0.0576,0.0249,0.0494,0.0494,0.4412,0.5392,0.6135
"A 48-year-old man comes to the clinic because of a 10-year history of recurrent, intrusive thoughts that his house will be broken into and damaged by criminals or accidentally destroyed by a fire when he is not home. These thoughts have worsened during the past 2 months. He reports now spending 4 hours daily checking that the doors and windows are closed and locked and that the stove and oven are turned off; he previously spent 2 hours daily doing these tasks. He says he cannot keep a job or leave the house very much because of the amount of time he spends checking these things. He has no other history of serious illness and takes no medications. Physical examination shows no abnormalities. On mental status examination, he has an anxious mood and a sad affect. He is fully oriented. He is not having hallucinations or delusions. The most effective pharmacotherapy for this patient is an agent that targets which of the following neurotransmitters?",The most effective pharmacotherapy for this patient is an agent that targets which of the following neurotransmitters?,"
A. γ-Aminobutyric acid 
B. Dopamine 
C. Glutamate 
D. Norepinephrine 
E. Serotonin
",E,E,True,"This case describes obsessive-compulsive disorder (OCD), a condition characterized by persistent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions). The patient's symptoms align closely with those of OCD, where serotonin plays a crucial role in its pathophysiology. Serotonin is a monoamine neurotransmitter involved in various brain functions including mood regulation, sleep-wake cycles, appetite, and pain perception. It also influences anxiety and depression, two conditions often associated with OCD. In OCD, there is typically a deficiency of serotonin in certain areas of the brain, leading to increased activity in related circuits. While other options like gamma-aminobutyric acid (GABA), dopamine, glutamate, and norepinephrine can influence neural function, they do not specifically target the mechanisms underlying OCD as effectively as serotonin does. For example: - GABA is primarily involved in inhibitory processes but doesn't directly address the core obsessional themes. - Dopamine is more implicated in reward pathways rather than the specific obsessions seen in OCD. - Glutamate is important in learning and memory but isn’t targeted by current treatments for OCD. - Norepinephrine affects arousal and attention but again, it’s not specifically linked to the obsessional content of OCD. Therefore, among the given options, only serotonergic agents such as SSRIs (Selective Serotonin Reuptake Inhibitors) are known to be highly effective in treating OCD due to their ability to modulate serotonin levels within the brain, thereby targeting the biochemical basis of the disorder.",0.0,0.0224,0.1692,0.0643,0.0081,0.0402,0.0402,0.4986,0.5541,0.6069
"Researchers from a large neurology center are conducting a study to examine the relationship between stress levels and fibromyalgia-related pain. Two hundred patients with fibromyalgia are randomly selected from the center for participation in the study. During recruitment, a baseline interview is conducted with each participant to obtain sociodemographic and personality data. Participants are given a study-provided portable digital device and asked to maintain a daily schedule of their fibromyalgia pain and stress levels for 30 days using two well-validated and reliable self-reporting scales. Results show a positive and statistically significant relationship between stress levels and fibromyalgia-related pain (P<.05). Similarly, statistically significant relationships were found between Type A personality participants and increased stress levels (P<.01), as well as increased levels of fibromyalgia-related pain (P<.005). Which of the following is the most appropriate method to control for the potential confounding effect of patients with a Type A personality?",Which of the following is the most appropriate method to control for the potential confounding effect of patients with a Type A personality?,"
A. Matching 
B. Post hoc analysis 
C. Randomization 
D. Standardization 
E. Stratification
",E,E,True,"Stratification is an important statistical technique used to control for confounding variables in research studies. In this case, researchers want to investigate the relationship between stress levels and fibromyalgia-related pain while controlling for the influence of Type A personality traits on both factors. Type A personality traits, characterized by competitiveness, time urgency, and hostility, have been associated with higher stress levels and increased risk of developing fibromyalgia. By stratifying the sample based on Type A personality status, researchers can ensure that any observed differences in stress levels and fibromyalgia-related pain are not due to inherent differences between these groups but rather to the specific effects of stress and fibromyalgia itself. Here's how stratification works in this context: 1. Matching: This involves pairing individuals who share certain characteristics (e.g., age, gender) before random assignment. While useful, matching does not address the issue of confounding variables like Type A personality directly. 2. Post hoc analysis: This refers to analyzing results after the fact without adjusting for potential confounders. It may lead to biased conclusions if not properly controlled. 3. Randomization: This involves assigning subjects to different groups through chance alone. However, it doesn't inherently account for individual differences such as Type A personality traits. 4. Standardization: This involves making all measurements consistent across participants. While important for comparability, standardization alone cannot control for confounding variables like Type A personality. 5. Stratification: This involves dividing the population into subgroups based on relevant characteristics (in this case, Type A personality status) and then comparing within each subgroup. This approach allows researchers to isolate the effect of Type A personality on stress levels and fibromyalgia-related pain while accounting for other potential confounders. By stratifying the sample according to Type A personality status, researchers can more accurately assess whether stress levels and fibromyalgia-related pain are independent of Type A personality traits, thereby providing a clearer understanding of the relationship between these variables.",0.0,0.0468,0.1554,0.0983,0.0407,0.0751,0.0751,0.4906,0.5577,0.6756
"A 12-year-old boy with sickle cell disease and type 1 diabetes mellitus is brought to the office by his mother for an initial visit. The family recently moved to the area. Type 1 diabetes mellitus was diagnosed in the patient 6 years ago. Since that time, he has been treated with insulin and dietary management. His insulin regimen has not changed during the past year; however, his mother says he has been only marginally compliant with his insulin and dietary regimens. His diabetic diary shows home fingerstick blood glucose concentrations ranging from 140–200 mg/dL during the past 3 months. He admits to checking his glucose concentrations infrequently. Measurement of hemoglobin A1c obtained last week was 5.4%. The patient's vital signs are temperature 36.8°C (98.2°F), pulse 72/min, respirations 24/min, and blood pressure 110/64 mm Hg. Physical examination shows no abnormalities. Which of the following is the most likely explanation for the discrepancy between the patient's home fingerstick blood glucose concentrations and his hemoglobin A1c?",Which of the following is the most likely explanation for the discrepancy between the patient's home fingerstick blood glucose concentrations and his hemoglobin A1c?,"
A. He has iron deficiency anemia 
B. His daily glucose control is better than recorded 
C. His glucometer is reading falsely high and should be replaced 
D. His hemoglobin A1c is likely a result of laboratory error and should be repeated 
E. His sickle cell disease is affecting his hemoglobin A1c
",E,B,False,"Type 1 diabetes mellitus patients typically have more stable blood glucose levels compared to those with type 2 diabetes. This stability can lead to lower hemoglobin A1c values over time as the average glycemic status improves. In this case, the patient's hemoglobin A1c level of 5.4% after one year of consistent treatment suggests good overall control despite occasional fluctuations in blood glucose readings due to factors such as stress, illness, or poor adherence to diet and medication. Option A (Iron deficiency anemia) is unlikely because it would cause higher red blood cell counts and potentially higher hemoglobin levels, which could skew the results of hemoglobin A1c tests. Option C (Glucometer reading falsely high) is improbable given the patient's relatively low fasting plasma glucose levels and normal physical exam findings. Option D (Laboratory error) is highly unlikely since multiple measurements were taken within a short period without significant changes in results. Option E (Sickle cell disease affecting hemoglobin A1c) is also less probable because sickle cell disease primarily affects red blood cells' shape and function rather than directly impacting hemoglobin A1c levels. However, if the patient experiences frequent vaso-occlusive crises leading to hypoxia, it might affect their overall health and thus indirectly influence their hemoglobin A1c levels.",0.0,0.0524,0.2171,0.1191,0.0343,0.0851,0.0851,0.5539,0.6086,0.6361
"A 35-year-old man, who has been your patient for the past year, comes to the office to request that a copy of his medical records be sent to another physician in town. The patient has an overdue account balance of $750, which he has not paid for several months. He signs an office form authorizing release of health information and provides the name and address of the other physician to whom he would like the records sent. It is most appropriate to inform this patient of which of the following regarding his request for release of his medical records?",It is most appropriate to inform this patient of which of the following regarding his request for release of his medical records?,"
A. They will be released to his new physician promptly 
B. They will be released when he makes a payment on his account 
C. They will be released when he pays his balance in full 
D. They will be released when his new physician contacts your office and requests them
",A,C,False,"Option A is incorrect because releasing medical records immediately upon authorization does not align with standard practices. Medical records typically require verification and review before being released to ensure they do not contain sensitive personal information or unauthorized access. Option B is also incorrect as it suggests waiting until the patient makes a payment, but patients may have multiple outstanding balances and might not always pay their accounts promptly. Option D is incorrect because contacting the office about the release of records is not part of the process; the patient should directly contact the receiving physician to request the records. Option C is the most appropriate choice. When a patient authorizes the release of their medical records, it means they consent to having those records shared with any healthcare provider authorized by them. Therefore, if the patient's new physician requests the records, they can be released promptly without delay. This approach respects the patient's autonomy and ensures timely access to necessary medical information.",0.0,0.0739,0.3034,0.1604,0.0432,0.1176,0.1176,0.5208,0.5861,0.6185
"A 47-year-old man is admitted to the intensive care unit because of lower gastrointestinal bleeding. He has a history of alcohol-induced cirrhosis. Physical examination shows marked ascites and splenomegaly; the spleen tip is palpated 4 cm below the left costal margin. Results of laboratory studies are shown: Serum Blood Creatinine 1.5 mg/dL Hematocrit 29% Hemoglobin 9.7 g/dL Platelet count 105,000/mm³ PT 25 seconds INR 2.5 Which of the following mechanisms most increases this patient’s risk for bleeding?",5 Which of the following mechanisms most increases this patient’s risk for bleeding?,"
A. Decreased production of factor VII 
B. Defective platelet aggregation 
C. Deficiency of thrombopoietin 
D. Inhibition of vitamin K epoxide reductase 
E. Splenic sequestration
",A,E,False,"Splenic sequestration refers to the abnormal accumulation of blood in the spleen due to impaired function of its normal filtering mechanism. This condition can lead to increased pressure within the spleen, which may cause it to rupture, leading to hemorrhage. The presence of splenomegaly (enlarged spleen) and ascites (fluid buildup in the abdomen) strongly suggests that the patient's liver disease has progressed to such an extent that the spleen is not functioning properly, potentially leading to splenic sequestration. Let's examine why the other options are less likely: A. Decreased production of factor VII - While factor VII deficiency can increase bleeding risk, it is not typically associated with splenic sequestration. B. Defective platelet aggregation - Defective platelet aggregation would generally be more related to thrombotic disorders rather than bleeding issues. C. Deficiency of thrombopoietin - Thrombopoietin is a hormone that stimulates megakaryocyte production, but it does not directly relate to splenic sequestration. D. Inhibition of vitamin K epoxide reductase - Vitamin K-dependent coagulation factors are involved in hemostasis, but inhibition of this enzyme would primarily affect clotting rather than bleeding. E. Splenic sequestration - As mentioned earlier, this is the primary mechanism increasing bleeding risk in this patient given their history of cirrhosis and enlarged spleen. Therefore, splenic sequestration is the most appropriate mechanism contributing to the patient's increased bleeding risk.",0.0,0.0242,0.1403,0.0769,0.0172,0.0598,0.0598,0.4898,0.5878,0.7001
"A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy. Medical history is otherwise unremarkable and the patient takes no medications. Family history is significant for stable angina in her father and rheumatoid arthritis in her mother. The patient has a 102-year-old grandmother who resides in a nursing care facility and has Parkinson disease. The patient does not smoke cigarettes or drink alcoholic beverages. During the interview, her face is expressionless. She has a flexed posture and is unable to open her mouth wide. She is 173 cm (5 ft 8 in) tall and weighs 81 kg (179 lb); BMI is 27 kg/m2. Vital signs are normal. Physical examination discloses thickening and hardening of the skin over the dorsum of the hands and forearms, as well as mild kyphosis. Strength testing shows no abnormalities; muscle tension is normal. Passive and active range of motion of the upper extremities is full. Gait is slow and deliberate. The remainder of the physical examination discloses no abnormalities. Prior to surgery, further evaluation is indicated for which of the following conditions in this patient?","Prior to surgery, further evaluation is indicated for which of the following conditions in this patient?","
A. Osteitis deformans (Paget disease) 
B. Parkinson disease 
C. Progressive supranuclear palsy 
D. Sarcopenia 
E. Systemic sclerosis (scleroderma)
",E,B,False,"Parkinson's disease is characterized by tremors, rigidity, bradykinesia (slowness of movement), and postural instability. In this case, the patient exhibits symptoms consistent with Parkinson's disease such as stiffness, difficulty opening the mouth wide, and slowness of movement during gait. Additionally, the presence of a family history of Parkinson's disease supports this diagnosis. The other options do not match the clinical presentation described: A. Osteitis deformans (Paget disease): This condition involves abnormal bone growth leading to deformities but typically presents with pain, fractures, and changes in bone structure rather than stiffness and reduced mobility. C. Progressive supranuclear palsy: While it can cause similar motor symptoms, it also includes features like gaze palsy and vertical eye movements that are absent in this patient. D. Sarcopenia: This refers to age-related loss of skeletal muscle mass and strength, which is unrelated to the patient's symptoms. E. Systemic sclerosis (scleroderma): Although scleroderma can affect muscles and joints, its primary manifestations include skin thickening and tightening, Raynaud's phenomenon, and organ involvement, none of which align with the patient's specific symptoms. Given the patient's facial expression, posture, and gait, along with the family history of Parkinson's disease, the most appropriate diagnosis is Parkinson disease.",0.0,0.0377,0.1358,0.0721,0.0182,0.0541,0.0541,0.4513,0.537,0.5894
