,background,question,model,explanation,acc,background_recall,ques_recall,bleu4,bleu1,meteor,rouge1,rouge2,rougeL,rougeLsum,bertscore_f1,model_size
0,"A 68-year-old man is brought to the emergency department because of a 2-day history of progressive lethargy and tremors. He has alcoholism and opiate, cocaine, and amphetamine use disorder, but he has abstained from alcohol and illicit substances during the past 2 weeks. He also has alcoholic cirrhosis. His only medication is a daily multivitamin. He previously drank six 12-oz beers daily. He appears chronically ill and is somnolent. Temperature is 36.8°C (98.2°F), pulse is 100/min, respirations are 18/min, and blood pressure is 100/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Examination shows conjunctival icterus, ascites, and 2+ edema of the lower extremities. Cranial nerves are intact. Muscle strength is 4/5 throughout. When he is awake, there is a postural and action tremor of the forearms and hands that is accompanied by a sudden, brief loss of muscle strength. His speech is normal, and he is able to follow simple commands. Serum total bilirubin concentration is 3 mg/dL. Blood and urine cultures grow no pathogens. Which of the following is most likely to improve this patient’s cognition and movement disorder?",Which of the following is most likely to improve this patient’s cognition and movement disorder?,0.5B-Qwen25,"This treatment is crucial for improving cognitive function and movement disorders in patients with chronic liver disease, including those with alcoholism, opiate, cocaine, and amphetamine use disorder. The reason for this is multifaceted: 1. Vitamin B1 (Thiamine): Thiamine deficiency can lead to neurological symptoms such as confusion, memory problems, and impaired coordination. It's essential for maintaining brain health and preventing further damage due to its role in energy metabolism and nerve signaling. 2. Liver Function: Chronic liver disease often leads to liver dysfunction, which can impair the body's ability to metabolize thiamine effectively. This can result in decreased levels of thiamine in the blood, leading to cognitive decline and motor impairment. 3. Alcoholism: Alcoholism can significantly impact liver function, making it difficult for the body to process thiamine properly. The combination of alcohol and thiamine deficiencies can exacerbate these issues. 4. Opium, Cocaine, and Amphetamines: These drugs can interfere with the absorption of thiamine, potentially worsening cognitive and motor symptoms. 5. Abstaining from Alcohol and Illicit Substances: Abstinence from these substances helps prevent further liver damage and improves overall health, which can indirectly support cognitive and motor function. While other treatments like intravenous vitamin B1 might be beneficial, they may not address the underlying liver conditions as effectively as intravenous thiamine therapy. Therefore, intravenous thiamine therapy is the most appropriate and effective choice for managing the patient's condition.",False,0.1,0.0,0.0,0.0337,0.1736,0.0972,0.0163,0.0567,0.0567,0.4937,0.5
27,"A 60-year-old woman comes to the office as a new patient. She recently moved to the area. She feels well. She has hypertension treated with amlodipine and asthma well controlled with inhaled fluticasone and inhaled albuterol as needed. According to the medical records she brought with her, a mammography 6 months ago showed no abnormalities, results of laboratory studies 1 year ago were within the reference ranges, and colonoscopy 5 years ago showed no abnormalities. Her past three Pap smears have shown no abnormalities; the most recent Pap smear was 1 year ago. Her mother has type 2 diabetes mellitus, and her maternal aunt had breast cancer at the age of 55 years. The patient does not smoke cigarettes. She drinks two glasses of wine weekly. She works as a nurse. She has been monogamous with her husband for 30 years. Pulse is 76/min, respirations are 16/min, and blood pressure is 132/86 mm Hg. Examination shows no abnormalities. Screening for which of the following is the most appropriate next step in management?",Screening for which of the following is the most appropriate next step in management?,0.5B-Qwen25,"Given the patient's history and current condition, the most appropriate next step in management would be to screen for breast cancer. Here’s the reasoning: 1. Pap Smear Results: The patient's last Pap smear was 1 year ago, which suggests that there may be some residual risk of early-stage breast cancer. However, since the patient has not developed any symptoms (as indicated by normal mammogram results), this indicates that the risk of developing breast cancer is low. 2. Screening for Breast Cancer: For patients who have not developed symptoms but have a family history of breast cancer, screening for breast cancer is recommended. This includes both mammograms and possibly other forms of imaging like MRI or ultrasound if available. 3. Other Options: - Abdominal Aortic Aneurysm (AAA): While possible, it is less common than breast cancer and typically requires more advanced imaging techniques. - Chlamydia Trachomatis Infection: This is a sexually transmitted infection and should be considered only if there are signs of infection such as discharge from the vagina or cervix. - Colon Cancer: Although the patient has not developed symptoms, the presence of a family history of colorectal cancer increases the likelihood of developing colorectal cancer, especially given the patient's smoking habits and alcohol consumption. - Hepatitis C: This is a liver disease and should be screened annually regardless of age. Since the patient has not developed symptoms and has a family history of breast cancer, the most prudent next step is to screen for breast cancer. This will help identify any potential issues before they become severe enough to require treatment.",False,0.04,0.67,0.0136,0.0436,0.2421,0.0935,0.0507,0.0647,0.0647,0.4499,0.5
50,"A 33-year-old woman is admitted to the hospital because of visual field loss following a 48-hour history of acute eye pain. She also has a 3-week history of numbness and a feeling of ""heaviness"" in both legs. She has no history of serious illness and takes no medications. Six weeks ago, she returned from a hiking expedition in the northeastern USA; she has no recent history of international travel. Vital signs are within normal limits. Muscle strength is 5/5 in the upper extremities, 3/5 in the hip flexors and knee extensors, and 4/5 in the knee flexors and ankle dorsiflexors. Patellar and ankle reflexes are 3+ bilaterally, and there is nonsustained ankle clonus bilaterally. Sensation to pinprick is absent throughout the lower extremities. Ophthalmologic examination discloses optic neuritis and reconfirms the visual field loss. Which of the following studies is most likely to confirm the diagnosis?",Which of the following studies is most likely to confirm the diagnosis?,0.5B-Qwen25,"To diagnose a patient with visual field loss and numbness in both legs, a comprehensive evaluation involving multiple imaging modalities is crucial. The CT scan of the cervical spine is particularly important as it can help identify any spinal involvement that might be contributing to the symptoms. Here's why this test is essential: 1. Visual Field Loss: The CT scan of the cervical spine can reveal any abnormalities such as herniated discs, tumors, or spinal stenosis that could cause visual field loss. This is especially relevant given the patient's history of acute eye pain and numbness in both legs. 2. Numbness and Heaviness: The CT scan can show evidence of nerve compression or damage, which would explain the numbness and heaviness in the legs. For example, a herniated disc or a tumor in the cervical spine can compress nerves leading to these symptoms. 3. Muscle Strength and Reflexes: The CT scan provides information about muscle strength and reflexes, which can help rule out other causes like peripheral neuropathy or stroke. It can also assess for any structural changes in the cervical spine that might be causing the symptoms. While the other options have their own merits, they do not specifically address the specific neurological findings described in the case: - Electromyography (EMG) and nerve conduction studies are more focused on assessing motor function and nerve conduction issues. - Lumbar puncture for examination of cerebrospinal fluid is used to evaluate for possible infection or inflammation but does not directly address the neurological deficits mentioned. - Measurement of serum Lyme (Borrelia burgdorferi) antibody concentration is related to Lyme disease but does not specifically address the neurological symptoms. Therefore, the combination of a cervical spine CT scan is the most appropriate and effective diagnostic tool for confirming the patient's diagnosis of visual field loss and numbness in both legs.",False,0.17,0.5,0.0,0.0237,0.1611,0.0566,0.0063,0.044,0.044,0.4452,0.5
109,"A 68-year-old man is brought to the emergency department because of a 2-day history of progressive lethargy and tremors. He has alcoholism and opiate, cocaine, and amphetamine use disorder, but he has abstained from alcohol and illicit substances during the past 2 weeks. He also has alcoholic cirrhosis. His only medication is a daily multivitamin. He previously drank six 12-oz beers daily. He appears chronically ill and is somnolent. Temperature is 36.8°C (98.2°F), pulse is 100/min, respirations are 18/min, and blood pressure is 100/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Examination shows conjunctival icterus, ascites, and 2+ edema of the lower extremities. Cranial nerves are intact. Muscle strength is 4/5 throughout. When he is awake, there is a postural and action tremor of the forearms and hands that is accompanied by a sudden, brief loss of muscle strength. His speech is normal, and he is able to follow simple commands. Serum total bilirubin concentration is 3 mg/dL. Blood and urine cultures grow no pathogens. Which of the following is most likely to improve this patient’s cognition and movement disorder?",Which of the following is most likely to improve this patient’s cognition and movement disorder?,1.5B-Qwen25,"Thiamine deficiency can lead to Wernicke-Korsakoff syndrome, which includes cognitive impairment, ataxia, and psychiatric symptoms such as delusions and hallucinations. The patient's presentation of postural and action tremor, along with his history of chronic illness and alcohol abuse, strongly suggests thiamine deficiency. Thiamine supplementation can help reverse these neurological deficits and improve his cognition and movement disorders. Options A, C, and D are less appropriate for this scenario: A. Intravenous vancomycin and cefepime therapy - These antibiotics would not address the underlying cause of the patient's condition, which is thiamine deficiency. C. Oral lactulose therapy - Lactulose is used to treat hepatic encephalopathy in patients with liver disease, not to improve cognitive function due to thiamine deficiency. D. Oral lorazepam therapy - While benzodiazepines like lorazepam may be used to manage agitation or anxiety, they do not directly address the nutritional deficiencies causing the patient's symptoms.",False,0.02,1.0,0.0,0.0542,0.2552,0.1472,0.0621,0.0982,0.0982,0.5432,1.5
136,"A 60-year-old woman comes to the office as a new patient. She recently moved to the area. She feels well. She has hypertension treated with amlodipine and asthma well controlled with inhaled fluticasone and inhaled albuterol as needed. According to the medical records she brought with her, a mammography 6 months ago showed no abnormalities, results of laboratory studies 1 year ago were within the reference ranges, and colonoscopy 5 years ago showed no abnormalities. Her past three Pap smears have shown no abnormalities; the most recent Pap smear was 1 year ago. Her mother has type 2 diabetes mellitus, and her maternal aunt had breast cancer at the age of 55 years. The patient does not smoke cigarettes. She drinks two glasses of wine weekly. She works as a nurse. She has been monogamous with her husband for 30 years. Pulse is 76/min, respirations are 16/min, and blood pressure is 132/86 mm Hg. Examination shows no abnormalities. Screening for which of the following is the most appropriate next step in management?",Screening for which of the following is the most appropriate next step in management?,1.5B-Qwen25,"Given the patient's family history (mother with type 2 diabetes and maternal aunt with breast cancer), along with her current risk factors such as smoking cessation (she stopped smoking) and alcohol consumption (two glasses of wine per week), it is highly recommended that she undergoes regular screening for breast cancer. This recommendation is based on several key points: 1. Family History: Having a close relative with breast cancer increases the individual's risk significantly. Women who carry BRCA genes or have a strong family history of breast cancer should be screened more frequently than those without such a history. 2. Age and Risk Factors: While the patient is 60 years old, this is still considered a high-risk group due to the presence of other risk factors like smoking cessation and moderate alcohol intake. Regular screenings can help detect early signs of breast cancer before they become symptomatic. 3. Current Health Status: The patient has no symptoms, normal lab tests, and no previous abnormal findings from imaging or biopsies. These factors support ongoing surveillance rather than immediate intervention. 4. Previous Findings: The last Pap smear was performed one year prior, indicating that any changes would likely be detected through further testing. Options A, C, D, and E are less relevant given the patient’s current health status and lack of specific risk factors for these conditions. Therefore, the most appropriate next step in management is to screen for breast cancer.",False,0.2,0.67,0.0149,0.0404,0.2916,0.0941,0.0553,0.0941,0.0941,0.4657,1.5
159,"A 33-year-old woman is admitted to the hospital because of visual field loss following a 48-hour history of acute eye pain. She also has a 3-week history of numbness and a feeling of ""heaviness"" in both legs. She has no history of serious illness and takes no medications. Six weeks ago, she returned from a hiking expedition in the northeastern USA; she has no recent history of international travel. Vital signs are within normal limits. Muscle strength is 5/5 in the upper extremities, 3/5 in the hip flexors and knee extensors, and 4/5 in the knee flexors and ankle dorsiflexors. Patellar and ankle reflexes are 3+ bilaterally, and there is nonsustained ankle clonus bilaterally. Sensation to pinprick is absent throughout the lower extremities. Ophthalmologic examination discloses optic neuritis and reconfirms the visual field loss. Which of the following studies is most likely to confirm the diagnosis?",Which of the following studies is most likely to confirm the diagnosis?,1.5B-Qwen25,"Lyme disease is primarily transmitted through the bite of infected blacklegged ticks. The antibodies against Borrelia burgdorferi can be detected in the blood using specific serological tests such as ELISA, Western blot, and immunoblot assays. These tests measure the presence of antibodies that have been produced in response to the infection. In this case, the patient presents with symptoms consistent with Lyme disease, including visual field loss, numbness, heaviness in the legs, and muscle weakness. The absence of sensory deficits suggests that the involvement may not be at the level of the central nervous system but rather at the peripheral nerves or muscles. While other options like CT scans, electromyography, and lumbar punctures might be useful in ruling out other conditions, they do not specifically target the detection of Lyme disease antibodies. Therefore, measuring the serum Lyme antibody concentration would be the most appropriate initial diagnostic test to confirm the suspected diagnosis of Lyme disease. This test could help determine if the patient has had exposure to the tick-borne pathogen and whether treatment should be initiated.",False,0.1,0.5,0.0,0.041,0.1603,0.0847,0.0321,0.0741,0.0741,0.4854,1.5
218,"A 68-year-old man is brought to the emergency department because of a 2-day history of progressive lethargy and tremors. He has alcoholism and opiate, cocaine, and amphetamine use disorder, but he has abstained from alcohol and illicit substances during the past 2 weeks. He also has alcoholic cirrhosis. His only medication is a daily multivitamin. He previously drank six 12-oz beers daily. He appears chronically ill and is somnolent. Temperature is 36.8°C (98.2°F), pulse is 100/min, respirations are 18/min, and blood pressure is 100/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Examination shows conjunctival icterus, ascites, and 2+ edema of the lower extremities. Cranial nerves are intact. Muscle strength is 4/5 throughout. When he is awake, there is a postural and action tremor of the forearms and hands that is accompanied by a sudden, brief loss of muscle strength. His speech is normal, and he is able to follow simple commands. Serum total bilirubin concentration is 3 mg/dL. Blood and urine cultures grow no pathogens. Which of the following is most likely to improve this patient’s cognition and movement disorder?",Which of the following is most likely to improve this patient’s cognition and movement disorder?,3B-Qwen25,"Given the patient's history of chronic alcoholism, opiate, cocaine, and amphetamine use disorder, along with alcoholic cirrhosis, the most likely cause of his cognitive impairment and movement disorder is Wernicke-Korsakoff syndrome, which is a result of thiamine deficiency. Thiamine (vitamin B1) deficiency can lead to Wernicke-Korsakoff syndrome, characterized by symptoms such as confusion, ataxia, ophthalmoplegia, and memory disturbances. The postural and action tremor described in the patient could be indicative of cerebellar dysfunction, which is common in Wernicke-Korsakoff syndrome. Option A (Intravenous vancomycin and cefepime therapy) is incorrect because these antibiotics are not indicated for treating thiamine deficiency. They are used to treat bacterial infections, which are not mentioned in the patient's case. Option C (Oral lactulose therapy) is incorrect because lactulose is typically used to treat hepatic encephalopathy, which is a complication of liver disease, not specifically related to thiamine deficiency. Option D (Oral lorazepam therapy) is incorrect because lorazepam is a benzodiazepine used to treat anxiety and seizures, not for managing thiamine deficiency-related neurological symptoms. Therefore, the most appropriate treatment for improving the patient's cognition and movement disorder would be Option B, intravenous vitamin B1 (thiamine) therapy, to address the underlying thiamine deficiency.",False,0.1,1.0,0.0044,0.0433,0.2678,0.1193,0.0556,0.1009,0.1009,0.5108,3.0
245,"A 60-year-old woman comes to the office as a new patient. She recently moved to the area. She feels well. She has hypertension treated with amlodipine and asthma well controlled with inhaled fluticasone and inhaled albuterol as needed. According to the medical records she brought with her, a mammography 6 months ago showed no abnormalities, results of laboratory studies 1 year ago were within the reference ranges, and colonoscopy 5 years ago showed no abnormalities. Her past three Pap smears have shown no abnormalities; the most recent Pap smear was 1 year ago. Her mother has type 2 diabetes mellitus, and her maternal aunt had breast cancer at the age of 55 years. The patient does not smoke cigarettes. She drinks two glasses of wine weekly. She works as a nurse. She has been monogamous with her husband for 30 years. Pulse is 76/min, respirations are 16/min, and blood pressure is 132/86 mm Hg. Examination shows no abnormalities. Screening for which of the following is the most appropriate next step in management?",Screening for which of the following is the most appropriate next step in management?,3B-Qwen25,"Given the patient's history and current health status, the most appropriate next step in management would be screening for colon cancer. Here’s a detailed breakdown of why this is the most suitable choice: 1. Colon Cancer Screening: The patient is 60 years old, which is within the recommended age range for colorectal cancer screening. While the last colonoscopy was performed five years ago and found no abnormalities, the risk of developing colorectal cancer increases with age. Additionally, the patient has a family history of breast cancer (aunt at age 55) and her mother has type 2 diabetes mellitus, both of which can increase the risk of certain cancers. Therefore, regular screening for colon cancer is advisable. 2. Abdominal Aortic Aneurysm (Option A): Although abdominal aortic aneurysms can occur in older adults, they typically do not present with symptoms until they become large enough to cause pain or rupture. Given that the patient has no symptoms and a normal physical examination, there is no immediate indication for screening for this condition. 3. Breast Cancer (Option B): The patient's mammogram from six months ago was normal, and her mother has type 2 diabetes mellitus, which is not a strong risk factor for breast cancer. Since her last Pap smear was also normal one year ago, there is no immediate need for further breast cancer screening. 4. Chlamydia Trachomatis Infection (Option C): This sexually transmitted infection is more commonly screened for in younger individuals and those with multiple sexual partners. Given that the patient is monogamous with her husband for 30 years, the risk of chlamydia infection is low, and routine screening is not necessary. 5. Hepatitis C (Option E): The patient does not have any risk factors for hepatitis C, such as intravenous drug use, blood transfusions before 1992, or sharing needles. Furthermore, the patient drinks alcohol, which can increase the risk of liver disease but not specifically hepatitis C. Therefore, screening for hepatitis C is not indicated based on the provided information. In conclusion, given the patient's age, family history, and the absence of other risk factors, screening for colon cancer is the most appropriate next step in her comprehensive cancer screening program.",False,0.24,1.0,0.012,0.0309,0.2267,0.0684,0.0423,0.0632,0.0632,0.4234,3.0
268,"A 33-year-old woman is admitted to the hospital because of visual field loss following a 48-hour history of acute eye pain. She also has a 3-week history of numbness and a feeling of ""heaviness"" in both legs. She has no history of serious illness and takes no medications. Six weeks ago, she returned from a hiking expedition in the northeastern USA; she has no recent history of international travel. Vital signs are within normal limits. Muscle strength is 5/5 in the upper extremities, 3/5 in the hip flexors and knee extensors, and 4/5 in the knee flexors and ankle dorsiflexors. Patellar and ankle reflexes are 3+ bilaterally, and there is nonsustained ankle clonus bilaterally. Sensation to pinprick is absent throughout the lower extremities. Ophthalmologic examination discloses optic neuritis and reconfirms the visual field loss. Which of the following studies is most likely to confirm the diagnosis?",Which of the following studies is most likely to confirm the diagnosis?,3B-Qwen25,"- Option A: CT scan of the cervical spine - This option is less likely to be the best choice given the patient's symptoms, which include visual field loss and neurological deficits in the lower extremities. While a cervical spine issue could potentially cause these symptoms, it is not specifically indicated for diagnosing Lyme disease, which is the most plausible cause based on the patient's recent travel history. - Option B: Electromyography and nerve conduction studies - These tests can help identify nerve damage and dysfunction but do not directly diagnose Lyme disease. They may show signs of peripheral neuropathy, but they cannot confirm the presence of Borrelia burgdorferi infection. - Option C: Lumbar puncture for examination of cerebrospinal fluid - This test can help diagnose certain infections, including Lyme disease, by detecting antibodies against Borrelia burgdorferi. However, it is not typically the first-line test for Lyme disease due to its invasive nature and the fact that it might not be necessary if other diagnostic methods are available and more appropriate. - Option D: Measurement of serum Lyme (Borrelia burgdorferi) antibody concentration - This is the most likely and direct way to confirm the diagnosis of Lyme disease. The presence of specific antibodies against Borrelia burgdorferi in the blood can indicate an active infection. Given the patient's recent travel history to the northeastern USA, where Lyme disease is prevalent, this test would be highly relevant and likely to confirm the diagnosis. - Option E: MRI of the brain - An MRI can help rule out other causes of neurological symptoms such as multiple sclerosis or other demyelinating diseases, but it does not directly diagnose Lyme disease. It is not the most specific test for confirming the presence of Borrelia burgdorferi antibodies. Given the patient's recent travel history and the clinical presentation of optic neuritis, numbness, and weakness in the lower extremities, the measurement of serum Lyme (Borrelia burgdorferi) antibody concentration is the most likely to confirm the diagnosis.",False,0.15,0.5,0.0084,0.0276,0.2233,0.0657,0.036,0.0597,0.0597,0.4215,3.0
327,"A 68-year-old man is brought to the emergency department because of a 2-day history of progressive lethargy and tremors. He has alcoholism and opiate, cocaine, and amphetamine use disorder, but he has abstained from alcohol and illicit substances during the past 2 weeks. He also has alcoholic cirrhosis. His only medication is a daily multivitamin. He previously drank six 12-oz beers daily. He appears chronically ill and is somnolent. Temperature is 36.8°C (98.2°F), pulse is 100/min, respirations are 18/min, and blood pressure is 100/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Examination shows conjunctival icterus, ascites, and 2+ edema of the lower extremities. Cranial nerves are intact. Muscle strength is 4/5 throughout. When he is awake, there is a postural and action tremor of the forearms and hands that is accompanied by a sudden, brief loss of muscle strength. His speech is normal, and he is able to follow simple commands. Serum total bilirubin concentration is 3 mg/dL. Blood and urine cultures grow no pathogens. Which of the following is most likely to improve this patient’s cognition and movement disorder?",Which of the following is most likely to improve this patient’s cognition and movement disorder?,7B-Qwen25,"Given the patient's history of chronic alcoholism, opiate, cocaine, and amphetamine use disorder, and alcoholic cirrhosis, the most likely diagnosis is Wernicke-Korsakoff syndrome, which is a neurological disorder caused by thiamine (vitamin B1) deficiency. This condition often develops in individuals with a history of chronic alcohol abuse due to poor nutrition and malabsorption issues. Let's examine each option: A. Intravenous vancomycin and cefepime therapy - These antibiotics are used to treat bacterial infections. Since the blood and urine cultures did not grow any pathogens, these antibiotics would not be appropriate for this patient. The absence of pathogens in cultures suggests that the patient's symptoms are not due to a bacterial infection. B. Intravenous vitamin B1 (thiamine) therapy - This is the correct treatment for Wernicke-Korsakoff syndrome. Thiamine deficiency can lead to neurological symptoms such as confusion, ataxia, ophthalmoplegia, and memory impairment. Administering intravenous thiamine can improve cognitive function and movement disorders associated with this syndrome. C. Oral lactulose therapy - Lactulose is used to manage constipation and reduce the risk of hepatic encephalopathy in patients with liver disease. While it may be beneficial for managing some aspects of the patient's condition, it does not address the underlying thiamine deficiency causing his cognitive and movement disorders. D. Oral lorazepam therapy - Lorazepam is a benzodiazepine used to treat anxiety, insomnia, and seizures. It does not address the underlying cause of the patient's symptoms, which are related to thiamine deficiency. While it might help manage some of the patient's symptoms, it is not the primary treatment for Wernicke-Korsakoff syndrome. In conclusion, the most appropriate treatment for this patient's cognitive and movement disorder is intravenous vitamin B1 (thiamine) therapy, as it directly addresses the underlying thiamine deficiency.",False,0.15,1.0,0.0,0.0337,0.2443,0.0915,0.0395,0.0784,0.0784,0.4887,7.0
