emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.6,0.0,0.7125,0.9286,0.8095,0.3467,0.2857,0.1429,0.0462,-0.0278,0.14,0.113,0.083,0.022,0.02,0.017,0.0724,0.0025,0.0107,0.4461,0.5345,0.7726,0.202,0.4425,0.0,0.002,0.001,0.544,0.584,0.583
0.6,0.1,0.6647,0.7143,0.619,0.3054,0.3571,0.2381,0.0572,-0.0183,0.168,0.189,0.14,0.049,0.026,0.021,0.1034,0.0713,0.069,0.5054,0.4316,0.5619,0.1141,0.6137,0.0,0.0,0.0,0.18,0.475,0.47
0.6,0.2,0.6411,0.7143,0.619,0.3638,0.4286,0.2381,0.057,0.0007,0.164,0.184,0.136,0.053,0.032,0.026,0.1208,0.0713,0.069,0.4224,0.3374,0.5619,0.1156,0.9856,0.0,0.0,0.0,0.144,0.374,0.368
0.6,0.3,0.6626,0.7143,0.619,0.1921,0.0714,0.0476,0.0403,-0.0152,0.167,0.178,0.131,0.044,0.026,0.021,0.1048,0.0713,0.069,0.6798,0.879,1.0,0.2663,0.6757,0.0,0.0,0.0,0.224,0.467,0.467
0.6,0.4,0.6594,0.7143,0.619,0.2291,0.0714,0.0476,0.0124,-0.0191,0.165,0.178,0.131,0.056,0.034,0.027,0.1071,0.0713,0.069,0.6212,0.879,1.0,0.7329,0.598,0.0,0.0,0.0,0.124,0.346,0.341
0.6,0.5,0.6272,0.7143,0.619,0.3741,0.2143,0.1429,0.0008,-0.0047,0.166,0.175,0.128,0.076,0.056,0.044,0.1317,0.0713,0.069,0.4084,0.6445,0.7726,0.9834,0.8976,0.0,0.0,0.0,0.037,0.122,0.118
0.6,0.6,0.5868,0.6429,0.5238,0.2242,0.2857,0.2381,0.0113,0.0007,0.16,0.156,0.116,0.062,0.039,0.031,0.1661,0.1194,0.1361,0.6288,0.5345,0.5619,0.7561,0.9852,0.0,0.0,0.0,0.085,0.276,0.267
0.6,0.7,0.5387,0.6429,0.5238,0.3123,0.2143,0.1429,-0.015,0.014,0.127,0.116,0.085,0.07,0.053,0.042,0.2121,0.1194,0.1361,0.4952,0.6445,0.7726,0.6792,0.6993,0.0,0.001,0.001,0.053,0.144,0.137
0.65,0.0,0.619,0.5714,0.4286,0.207,0.1786,0.1429,0.0409,-0.028,0.131,0.117,0.086,0.017,0.021,0.017,0.1383,0.1802,0.2389,0.6561,0.7017,0.7726,0.2589,0.4392,0.0,0.001,0.001,0.645,0.565,0.57
0.65,0.1,0.6114,0.7143,0.619,0.2283,0.1786,0.0476,0.0406,-0.0275,0.164,0.175,0.13,0.037,0.018,0.015,0.1446,0.0713,0.069,0.6224,0.7017,1.0,0.2626,0.4488,0.0,0.0,0.0,0.313,0.614,0.606
0.65,0.2,0.5947,0.7143,0.619,0.2869,0.2857,0.1429,0.0408,-0.0088,0.158,0.172,0.127,0.041,0.024,0.019,0.159,0.0713,0.069,0.5327,0.5345,0.7726,0.26,0.808,0.0,0.0,0.0,0.262,0.51,0.502
0.65,0.3,0.6482,0.7143,0.619,0.1817,0.0714,0.0476,0.0403,-0.0152,0.171,0.179,0.133,0.045,0.027,0.021,0.1153,0.0713,0.069,0.6966,0.879,1.0,0.2659,0.675,0.0,0.0,0.0,0.215,0.459,0.459
0.65,0.4,0.647,0.7143,0.619,0.2216,0.0714,0.0476,0.0095,-0.0168,0.165,0.175,0.129,0.056,0.033,0.026,0.1162,0.0713,0.069,0.6329,0.879,1.0,0.7939,0.6431,0.0,0.0,0.0,0.121,0.36,0.355
0.65,0.5,0.6172,0.7143,0.619,0.3669,0.2143,0.1429,-0.0027,-0.0024,0.165,0.171,0.126,0.076,0.055,0.044,0.1398,0.0713,0.069,0.4182,0.6445,0.7726,0.9415,0.9475,0.0,0.0,0.0,0.036,0.128,0.125
0.65,0.6,0.5856,0.6429,0.5238,0.2242,0.2857,0.2381,0.012,0.0007,0.161,0.156,0.116,0.062,0.039,0.031,0.1671,0.1194,0.1361,0.6288,0.5345,0.5619,0.7398,0.9852,0.0,0.0,0.0,0.085,0.276,0.267
0.65,0.7,0.5387,0.6429,0.5238,0.3123,0.2143,0.1429,-0.015,0.014,0.127,0.116,0.085,0.07,0.053,0.042,0.2121,0.1194,0.1361,0.4952,0.6445,0.7726,0.6792,0.6993,0.0,0.001,0.001,0.053,0.144,0.137
0.7,0.0,0.5098,0.6429,0.5238,0.2231,0.1429,0.0476,0.0545,-0.0338,0.131,0.115,0.084,0.046,0.028,0.022,0.2424,0.1194,0.1361,0.6307,0.7599,1.0,0.1328,0.351,0.0,0.002,0.001,0.208,0.448,0.446
0.7,0.1,0.5639,0.6429,0.5238,0.1892,0.1786,0.0476,0.0396,-0.0317,0.153,0.156,0.116,0.041,0.019,0.016,0.1873,0.1194,0.1361,0.6846,0.7017,1.0,0.2742,0.3816,0.0,0.0,0.0,0.255,0.593,0.582
0.7,0.2,0.5655,0.6429,0.5238,0.2376,0.1786,0.0476,0.0446,-0.0187,0.156,0.161,0.119,0.046,0.025,0.021,0.1858,0.1194,0.1361,0.6079,0.7017,1.0,0.2184,0.6057,0.0,0.0,0.0,0.202,0.488,0.477
0.7,0.3,0.6435,0.7143,0.619,0.1054,0.2143,0.1429,0.0394,-0.0236,0.162,0.171,0.127,0.044,0.018,0.015,0.1189,0.0713,0.069,0.8221,0.6445,0.7726,0.2769,0.5159,0.0,0.0,0.0,0.228,0.615,0.612
0.7,0.4,0.6266,0.7143,0.619,0.1979,0.0714,0.0476,0.0059,-0.0205,0.162,0.168,0.124,0.055,0.03,0.024,0.1322,0.0713,0.069,0.6706,0.879,1.0,0.8706,0.5724,0.0,0.0,0.0,0.132,0.409,0.401
0.7,0.5,0.5986,0.7143,0.619,0.3474,0.2143,0.1429,-0.0045,-0.0057,0.162,0.165,0.122,0.074,0.052,0.041,0.1556,0.0713,0.069,0.4451,0.6445,0.7726,0.9007,0.8752,0.0,0.0,0.0,0.04,0.151,0.147
0.7,0.6,0.5898,0.6429,0.5238,0.2261,0.2857,0.2381,0.0125,0.001,0.161,0.156,0.116,0.062,0.039,0.031,0.1633,0.1194,0.1361,0.6259,0.5345,0.5619,0.7302,0.9783,0.0,0.0,0.0,0.087,0.276,0.265
0.7,0.7,0.5387,0.6429,0.5238,0.3123,0.2143,0.1429,-0.015,0.014,0.127,0.116,0.085,0.07,0.053,0.042,0.2121,0.1194,0.1361,0.4952,0.6445,0.7726,0.6792,0.6993,0.0,0.001,0.001,0.053,0.144,0.137
0.75,0.0,0.3802,0.3571,0.3333,0.1598,0.2143,0.1429,0.0278,-0.0127,0.14,0.112,0.082,0.044,0.015,0.012,0.4002,0.4316,0.3813,0.7322,0.6445,0.7726,0.4427,0.7256,0.0,0.002,0.002,0.226,0.686,0.682
0.75,0.1,0.5313,0.5357,0.4286,0.1167,0.2143,0.1429,0.0197,-0.0055,0.148,0.141,0.105,0.042,0.014,0.012,0.2197,0.2152,0.2389,0.8033,0.6445,0.7726,0.586,0.8797,0.0,0.0,0.0,0.246,0.697,0.684
0.75,0.2,0.5279,0.5357,0.4286,0.1557,0.2143,0.1429,0.0237,0.0045,0.149,0.143,0.107,0.046,0.018,0.014,0.2232,0.2152,0.2389,0.7388,0.6445,0.7726,0.5127,0.9009,0.0,0.0,0.0,0.208,0.626,0.614
0.75,0.3,0.6275,0.7143,0.619,0.1253,0.2143,0.1429,0.0301,-0.0086,0.164,0.165,0.122,0.053,0.019,0.015,0.1314,0.0713,0.069,0.7889,0.6445,0.7726,0.406,0.8118,0.0,0.0,0.0,0.147,0.601,0.591
0.75,0.4,0.6433,0.7143,0.619,0.1833,0.2143,0.1429,0.006,-0.0232,0.163,0.164,0.121,0.064,0.029,0.023,0.1191,0.0713,0.069,0.6941,0.6445,0.7726,0.8682,0.5217,0.0,0.0,0.0,0.078,0.425,0.423
0.75,0.5,0.6352,0.7143,0.619,0.3213,0.2143,0.1429,0.0019,-0.0057,0.165,0.166,0.122,0.081,0.049,0.038,0.1253,0.0713,0.069,0.4822,0.6445,0.7726,0.9592,0.8748,0.0,0.0,0.0,0.026,0.175,0.174
0.75,0.6,0.5933,0.6429,0.5238,0.2241,0.2143,0.1429,0.0119,0.0007,0.159,0.154,0.114,0.062,0.039,0.031,0.1602,0.1194,0.1361,0.629,0.6445,0.7726,0.7428,0.9841,0.0,0.0,0.0,0.088,0.284,0.275
0.75,0.7,0.5387,0.6429,0.5238,0.3123,0.2143,0.1429,-0.015,0.014,0.127,0.116,0.085,0.07,0.053,0.042,0.2121,0.1194,0.1361,0.4952,0.6445,0.7726,0.6792,0.6993,0.0,0.001,0.001,0.053,0.144,0.137
0.8,0.0,0.2987,0.3571,0.3333,0.1783,0.2143,0.1429,0.0009,-0.0196,0.123,0.1,0.074,0.053,0.024,0.019,0.5152,0.4316,0.3813,0.7021,0.6445,0.7726,0.9812,0.5891,0.001,0.006,0.005,0.143,0.512,0.498
0.8,0.1,0.4374,0.3571,0.3333,0.1481,0.2143,0.1429,-0.0076,-0.0049,0.126,0.119,0.088,0.05,0.022,0.018,0.3264,0.4316,0.3813,0.7514,0.6445,0.7726,0.8347,0.8935,0.0,0.001,0.001,0.168,0.553,0.534
0.8,0.2,0.4434,0.3571,0.3333,0.1645,0.2143,0.1429,-0.0057,-0.0033,0.129,0.122,0.091,0.051,0.024,0.019,0.319,0.4316,0.3813,0.7244,0.6445,0.7726,0.8748,0.9274,0.0,0.001,0.001,0.16,0.516,0.499
0.8,0.3,0.51,0.6071,0.5238,0.1395,0.2143,0.1429,-0.0041,-0.0146,0.137,0.132,0.098,0.052,0.023,0.018,0.2422,0.1482,0.1361,0.7655,0.6445,0.7726,0.9095,0.6876,0.0,0.0,0.0,0.151,0.532,0.525
0.8,0.4,0.5798,0.7143,0.619,0.1742,0.2143,0.1429,-0.0113,-0.0216,0.149,0.148,0.109,0.057,0.027,0.021,0.1724,0.0713,0.069,0.7088,0.6445,0.7726,0.7547,0.5508,0.0,0.0,0.0,0.113,0.458,0.453
0.8,0.5,0.5901,0.7143,0.619,0.3067,0.2857,0.2381,-0.009,-0.0078,0.151,0.151,0.111,0.072,0.045,0.035,0.1631,0.0713,0.069,0.5034,0.5345,0.5619,0.8029,0.8287,0.0,0.0,0.0,0.047,0.218,0.213
0.8,0.6,0.5856,0.5357,0.4286,0.2213,0.2143,0.1429,0.0095,0.0,0.155,0.146,0.108,0.062,0.038,0.03,0.1671,0.2152,0.2389,0.6335,0.6445,0.7726,0.7934,0.9997,0.0,0.0,0.0,0.087,0.288,0.279
0.8,0.7,0.5376,0.6429,0.5238,0.3123,0.2143,0.1429,-0.0158,0.014,0.127,0.115,0.085,0.07,0.053,0.042,0.2133,0.1194,0.1361,0.4952,0.6445,0.7726,0.6622,0.6993,0.0,0.001,0.001,0.053,0.144,0.137
0.85,0.0,0.3395,0.2857,0.2381,0.104,0.2143,0.1429,-0.0196,-0.0138,0.106,0.081,0.061,0.051,0.02,0.016,0.4562,0.5345,0.5619,0.8244,0.6445,0.7726,0.588,0.704,0.004,0.026,0.021,0.158,0.581,0.572
0.85,0.1,0.4351,0.3571,0.3333,0.0861,0.2143,0.1429,-0.0219,0.0007,0.117,0.105,0.079,0.049,0.017,0.014,0.3292,0.4316,0.3813,0.8544,0.6445,0.7726,0.545,0.9842,0.001,0.004,0.003,0.176,0.634,0.629
0.85,0.2,0.4402,0.3571,0.3333,0.0861,0.2143,0.1429,-0.0214,0.0007,0.117,0.106,0.079,0.049,0.017,0.014,0.3229,0.4316,0.3813,0.8544,0.6445,0.7726,0.5551,0.9842,0.001,0.003,0.003,0.176,0.634,0.629
0.85,0.3,0.494,0.5357,0.4286,0.0949,0.1429,0.0476,-0.0144,-0.0063,0.124,0.116,0.086,0.052,0.019,0.015,0.2598,0.2152,0.2389,0.8396,0.7599,1.0,0.691,0.8616,0.001,0.001,0.001,0.153,0.596,0.594
0.85,0.4,0.539,0.6429,0.5238,0.0734,0.1429,0.0476,-0.0206,-0.0075,0.135,0.129,0.096,0.048,0.016,0.013,0.2118,0.1194,0.1361,0.8757,0.7599,1.0,0.5692,0.836,0.0,0.0,0.0,0.182,0.652,0.647
0.85,0.5,0.5483,0.6429,0.5238,0.2292,0.2143,0.1429,-0.0176,0.0025,0.136,0.133,0.098,0.067,0.038,0.03,0.2026,0.1194,0.1361,0.621,0.6445,0.7726,0.6264,0.9453,0.0,0.0,0.0,0.066,0.29,0.283
0.85,0.6,0.5571,0.5357,0.4286,0.2267,0.2143,0.1429,0.0006,0.0034,0.144,0.135,0.1,0.064,0.041,0.032,0.1939,0.2152,0.2389,0.625,0.6445,0.7726,0.9872,0.9252,0.0,0.0,0.0,0.079,0.257,0.247
0.85,0.7,0.5353,0.5946,0.488,0.3123,0.2143,0.1429,-0.0165,0.014,0.127,0.115,0.084,0.07,0.053,0.042,0.2156,0.1591,0.1287,0.4952,0.6445,0.7726,0.6486,0.6993,0.0,0.001,0.001,0.053,0.144,0.137
0.9,0.0,0.3852,0.3571,0.3333,-0.0439,0.1071,-0.0476,-0.028,-0.0088,0.113,0.088,0.065,0.039,0.002,0.002,0.3935,0.4316,0.3813,0.9255,0.8192,1.0,0.4399,0.8089,0.002,0.016,0.014,0.286,0.951,0.948
0.9,0.1,0.4295,0.3571,0.3333,-0.0541,-0.1071,-0.1429,-0.0258,-0.0082,0.123,0.101,0.074,0.037,0.001,0.001,0.3362,0.4316,0.3813,0.9082,0.8192,0.7726,0.4762,0.8208,0.001,0.005,0.005,0.313,0.989,0.985
0.9,0.2,0.4329,0.3571,0.3333,-0.0541,-0.1071,-0.1429,-0.0254,-0.0082,0.123,0.102,0.075,0.037,0.001,0.001,0.3319,0.4316,0.3813,0.9082,0.8192,0.7726,0.4827,0.8208,0.001,0.005,0.004,0.313,0.989,0.985
