emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.6,0.0,0.8155,0.8571,0.7143,0.6625,0.9286,0.8095,0.072,0.0406,0.157,0.166,0.122,0.078,0.07,0.059,0.0254,0.0137,0.0302,0.1049,0.0025,0.0107,0.0355,0.2362,0.0,0.0,0.0,0.023,0.041,0.041
0.6,0.1,0.8274,0.9286,0.8095,0.6509,0.7857,0.619,0.0915,0.0446,0.202,0.273,0.2,0.08,0.079,0.063,0.0216,0.0025,0.0107,0.1134,0.0362,0.069,0.0075,0.193,0.0,0.0,0.0,0.019,0.02,0.02
0.6,0.2,0.8166,0.9286,0.8095,0.6692,0.75,0.619,0.0916,0.0439,0.209,0.273,0.2,0.08,0.078,0.062,0.025,0.0025,0.0107,0.1002,0.0522,0.069,0.0074,0.2001,0.0,0.0,0.0,0.019,0.022,0.022
0.6,0.3,0.7894,0.9286,0.8095,0.7101,0.7143,0.5238,0.0886,0.0811,0.203,0.282,0.207,0.102,0.119,0.093,0.0348,0.0025,0.0107,0.0738,0.0713,0.1361,0.0096,0.0178,0.0,0.0,0.0,0.003,0.0,0.001
0.6,0.4,0.7545,0.8571,0.7143,0.6478,0.7857,0.619,0.0872,0.0666,0.18,0.265,0.194,0.084,0.101,0.078,0.05,0.0137,0.0302,0.1156,0.0362,0.069,0.0108,0.052,0.0,0.0,0.0,0.014,0.003,0.003
0.6,0.5,0.7593,0.8571,0.7143,0.637,0.7143,0.5238,0.0838,0.0853,0.185,0.266,0.195,0.096,0.11,0.085,0.0477,0.0137,0.0302,0.1239,0.0713,0.1361,0.0143,0.0127,0.0,0.0,0.0,0.005,0.001,0.001
0.6,0.6,0.7935,0.9286,0.8095,0.672,0.6071,0.5238,0.094,0.0516,0.184,0.248,0.182,0.097,0.124,0.096,0.0332,0.0025,0.0107,0.0982,0.1482,0.1361,0.006,0.1321,0.0,0.0,0.0,0.005,0.0,0.0
0.6,0.7,0.8402,0.9643,0.9048,0.7146,0.6429,0.619,0.1088,0.0808,0.174,0.251,0.184,0.111,0.159,0.123,0.018,0.0005,0.0028,0.0711,0.1194,0.069,0.0015,0.0183,0.0,0.0,0.0,0.001,0.0,0.0
0.65,0.0,0.7791,0.9286,0.8095,0.8416,0.9286,0.8095,0.0374,0.0631,0.156,0.179,0.132,0.055,0.035,0.029,0.039,0.0025,0.0107,0.0176,0.0025,0.0107,0.2749,0.0654,0.0,0.0,0.0,0.108,0.303,0.306
0.65,0.1,0.7868,0.9286,0.8095,0.6502,0.75,0.619,0.08,0.0469,0.194,0.261,0.191,0.071,0.07,0.056,0.0358,0.0025,0.0107,0.1139,0.0522,0.069,0.0195,0.1714,0.0,0.0,0.0,0.039,0.041,0.04
